total_plays,card_set,game_date
"1,001,702",OG,21/10/2017
"132,002",INVALID,27/10/2017
"2,659,623",UNGORO,27/10/2017
"109,026",INVALID,31/10/2017
"2,562,722",GANGS,6/11/2017
"5,737,861",CORE,9/11/2017
"3,389,039",ICECROWN,10/11/2017
12,FP2,11/11/2017
"2,649,575",GANGS,12/11/2017
"171,465",INVALID,14/11/2017
7,NAXX,17/11/2017
"2,190,396",GANGS,18/11/2017
"3,534,785",EXPERT1,25/11/2017
6,NAXX,29/11/2017
"4,441,677",EXPERT1,3/12/2017
"6,358,411",CORE,4/12/2017
"189,714",INVALID,4/12/2017
"949,941",OG,5/12/2017
"2,435,826",UNGORO,7/12/2017
"7,996,992",CORE,11/12/2017
"186,605",INVALID,11/12/2017
"4,683,017",EXPERT1,17/12/2017
"205,540",INVALID,25/12/2017
"3,201,638",LOOTAPALOOZA,28/12/2017
"2,734,255",UNGORO,1/01/2018
7,GVG,3/01/2018
10,TEMP1,3/01/2018
22,GVG,4/01/2018
"934,576",KARA,6/01/2018
"739,169",HERO_SKINS,9/01/2018
"3,299,331",LOOTAPALOOZA,11/01/2018
"746,704",HERO_SKINS,14/01/2018
"2,174,180",GANGS,15/01/2018
"7,098,334",CORE,20/01/2018
22,GVG,24/01/2018
"857,190",KARA,27/01/2018
"673,415",HERO_SKINS,29/01/2018
"789,895",KARA,29/01/2018
"278,657",INVALID,3/02/2018
14,TEMP1,3/02/2018
"2,966,974",ICECROWN,5/02/2018
29,TEMP1,8/02/2018
"2,748,455",ICECROWN,9/02/2018
"280,551",INVALID,16/02/2018
25,TEMP1,16/02/2018
"2,619,445",UNGORO,16/02/2018
"2,517,465",GANGS,18/02/2018
"1,999,109",GANGS,24/02/2018
"5,799,479",CORE,4/03/2018
36,TEMP1,4/03/2018
"2,073,395",GANGS,11/03/2018
13,LOE,12/03/2018
"730,445",KARA,17/03/2018
"5,984,729",CORE,18/03/2018
"269,246",INVALID,18/03/2018
"2,234,361",UNGORO,18/03/2018
"223,211",INVALID,23/03/2018
"484,684",HERO_SKINS,24/03/2018
"683,646",OG,29/03/2018
"1,665,214",GANGS,30/03/2018
"1,901,127",GANGS,3/04/2018
"6,140,856",CORE,7/04/2018
"792,383",KARA,7/04/2018
"1,710,065",GANGS,9/04/2018
