games_played_with_card_in_deck,rank_category,dbf_id,card_name
17962,GrindTo5,636,Whirlwind
7105,Rank15,220,Shadow Madness
515,GrindTo15,40294,Blubber Baron
6814,Rank5,401,Fiery War Axe
4814,Rank5,511,Upgrade!
1400,GrindTo10,38864,Twilight Geomancer
40625,Legend,38433,Shadow Word: Horror
1949,GrindTo5,40567,Grimestreet Outfitter
2054,GrindTo15,1108,Rampage
3147,Legend,41406,Cornered Sentry
1137,GrindTo15,42780,Grave Shambler
461,GrindTo15,1688,Angry Chicken
4013,GrindTo15,773,Healing Touch
4253,GrindTo10,41834,Envenom Weapon
2832,GrindTo15,40914,Friendly Bartender
74897,Rank10,40409,Potion of Polymorph
3772,GrindTo10,46079,Kobold Monk
1986,GrindTo5,43420,Shifting Scroll
8607,Rank15,40567,Grimestreet Outfitter
545,Rank10,205,Ironbark Protector
1002,GrindTo15,577,Bite
3293,GrindTo10,592,Succubus
2382,Rank10,45529,Sudden Betrayal
800,Rank10,38918,Blood To Ichor
535,GrindTo15,40693,Lotus Illusionist
498,Rank15,1050,Claw
404,GrindTo5,45377,Hyldnir Frostrider
353,Rank15,40411,Greater Arcane Missiles
5736,Rank5,41494,Awaken the Makers
12271,Rank15,38920,Bloodsail Cultist
301645,GrindTo15,1659,Acolyte of Pain
51311,Rank15,785,Execute
554749,GrindTo10,40583,Kabal Crystal Runner
408813,GrindTo15,365,Shadowstep
25686,GrindToLegend,680,Southsea Captain
171752,Rank10,1016,Coldlight Oracle
237721,Rank10,41496,Primordial Glyph
292460,Rank15,138,Doomsayer
7782,GrindTo5,38920,Bloodsail Cultist
37483,Rank10,621,Ice Barrier
315172,GrindTo5,138,Doomsayer
286988,Rank15,555,Arcane Intellect
315768,GrindTo15,42467,Righteous Protector
14163,Legend,40523,Jade Blossom
232521,GrindTo10,41217,Vilespine Slayer
139756,Rank15,41176,Radiant Elemental
128636,GrindTo5,38452,Darkshire Councilman
82922,Rank5,581,Alexstrasza
2574,GrindTo15,40568,Grimy Gadgeteer
281182,GrindTo10,613,Power Word: Shield
33645,GrindTo15,41259,Devilsaur Egg
51149,Rank15,40323,Raza the Chained
15690,Rank5,41316,Golakka Crawler
188272,Rank15,40299,Kabal Lackey
18655,Legend,39442,Priest of the Feast
4230,Legend,40323,Raza the Chained
3860,Legend,41170,Binding Heal
37514,GrindTo15,46450,Crushing Walls
239389,Rank10,631,Doomguard
151590,GrindTo5,41176,Radiant Elemental
87486,Rank15,45707,Dire Mole
349124,Rank15,43272,Lesser Amethyst Spellstone
147016,GrindTo15,45269,Raven Familiar
13747,Rank15,1737,Ethereal Arcanist
90442,GrindTo10,195,Mirror Entity
36421,Rank15,742,Savage Roar
74438,GrindToLegend,1158,Preparation
30668,Rank5,42046,Lyra the Sunshard
329927,Rank10,41418,Tar Creeper
117971,GrindTo10,43228,Fal'dorei Strider
33716,Rank15,546,Shield Slam
9580,Rank5,41222,The Caverns Below
183509,GrindTo10,43294,Branching Paths
30904,GrindTo10,254,Innervate
128942,Rank15,40523,Jade Blossom
29883,Rank5,41168,Open the Waygate
155468,GrindTo5,39160,Cat Trick
566815,GrindTo5,41145,Sunkeeper Tarim
227890,GrindToLegend,757,Argent Squire
54498,GrindTo5,40455,Jade Lightning
81813,GrindTo5,45707,Dire Mole
12008,Rank10,997,Bloodsail Corsair
25427,GrindTo15,45995,"Grumble, Worldshaker"
59383,Rank15,39350,Enchanted Raven
9285,Rank15,42338,Snowflipper Penguin
7952,Legend,1023,Shield Block
98722,Legend,45782,Unidentified Maul
3698,Legend,742,Savage Roar
209178,Rank10,1037,Twilight Drake
255161,GrindTo5,1100,Siphon Soul
104590,GrindToLegend,38792,Eater of Secrets
52980,GrindToLegend,42656,Spreading Plague
51663,GrindTo5,1003,Houndmaster
454429,GrindTo10,42009,Free From Amber
33339,Rank15,39426,Arcane Giant
12782,GrindTo10,999,Bloodsail Raider
60049,Rank15,46403,Zola the Gorgon
115920,Rank10,41139,Hydrologist
120104,Rank15,46040,"Rin, the First Disciple"
1927,GrindToLegend,308,Gnomish Inventor
15313,Legend,1124,Wild Growth
518221,GrindTo5,45820,Possessed Lackey
150877,Rank15,43392,Valeera the Hollow
218515,Rank5,39767,Medivh's Valet
23368,Rank10,45535,Evasion
123544,Rank10,461,Sap
3994,GrindTo15,38621,Klaxxi Amber-Weaver
59281,GrindToLegend,912,Harrison Jones
318965,GrindToLegend,46460,Twilight Acolyte
35590,GrindTo10,436,Malygos
72561,Legend,531,Faceless Manipulator
22670,Legend,904,Eviscerate
30453,GrindToLegend,38718,Mire Keeper
7985,GrindToLegend,699,Tundra Rhino
97866,GrindToLegend,45537,Candleshot
51774,GrindTo10,1144,King Krush
983,GrindTo15,435,Holy Wrath
5133,GrindToLegend,622,Stormwind Knight
4281,GrindTo15,41521,Tidal Surge
3308,GrindTo15,43282,Barkskin
15223,Legend,45271,Dragon's Fury
50289,GrindToLegend,43419,Frost Lich Jaina
76837,Rank10,1004,Flamestrike
14006,GrindTo10,976,Murloc Tidehunter
3825,GrindTo15,1522,Blessed Champion
15048,Rank15,38547,Disciple of C'Thun
2962,GrindTo15,42777,Fallen Sun Cleric
19482,Legend,41929,Primordial Drake
29765,Legend,46032,Grand Archivist
8224,Legend,785,Execute
8349,Legend,42700,Blood Razor
19635,GrindTo10,814,Snipe
44817,GrindTo10,39225,The Curator
7491,Rank15,46258,Benevolent Djinn
3467,Rank5,38859,Beckoner of Evil
7057,GrindTo5,38488,Twin Emperor Vek'lor
399,GrindTo10,43517,Furbolg Mossbinder
10390,GrindTo15,635,Sen'jin Shieldmasta
4012,GrindTo15,41126,Dispatch Kodo
3142,Rank15,38958,Crazed Worshipper
22190,GrindTo5,39481,Kindly Grandmother
10377,Rank5,41286,Charged Devilsaur
2109,GrindTo15,1221,Void Terror
378,Rank15,37,Pint-Sized Summoner
1269,Rank15,41913,The Voraxx
15544,GrindTo10,163,Sacrificial Pact
4790,GrindTo10,42754,Frozen Clone
4230,GrindTo15,41404,Ornery Direhorn
3680,GrindTo10,38784,Infested Tauren
1343,Rank15,982,Corruption
6425,GrindTo15,46118,Shrieking Shroom
21211,GrindToLegend,41159,Volcano
7958,Rank5,46541,Leyline Manipulator
