plays	turn	game_type	play_category
2990	22	30	NEUTRAL
2734	20	30	NEUTRAL
109	57	30	PRIEST
832	29	30	WARRIOR
751	34	2	HUNTER
251	59	2	PRIEST
3	70	2	The Coin
139	63	2	PRIEST
545	47	3	DRUID
4573	38	3	DRUID
100	58	30	PRIEST
197	76	2	WARRIOR
53	37	30	PALADIN
50	73	2	PRIEST
669	21	3	NEUTRAL
51	60	30	NEUTRAL
38	1	3	WARLOCK
16	51	2	SHAMAN
321	29	3	NEUTRAL
45	49	3	HUNTER
160	44	3	The Coin
44	61	30	WARRIOR
32	85	2	WARRIOR
18	44	30	The Coin
13	86	2	PRIEST
16	49	30	SHAMAN
16	82	30	PRIEST
2	59	2	HUNTER
8	53	2	SHAMAN
7	56	2	DRUID
10	48	30	PALADIN
1	56	2	MAGE
1	63	2	HUNTER
4	59	2	SHAMAN
3	57	2	MAGE
1	73	2	HUNTER
1	81	2	ROGUE
35199	46	2	Other
1615239	6	2	Other
121259	3	2	HUNTER
3011	65	2	Other
25849	18	2	PRIEST
8421	3	2	PRIEST
103	45	2	MAGE
17724	20	2	The Coin
6790	15	2	The Coin
451	40	2	PALADIN
332	40	2	MAGE
81155	17	2	NEUTRAL
10026	43	2	NEUTRAL
54590	13	2	NEUTRAL
1081	66	2	WARRIOR
248	45	2	DRUID
160	44	3	WARLOCK
2586	45	3	WARRIOR
11640	31	3	WARLOCK
845	36	3	The Coin
10690	34	3	WARRIOR
78244	20	30	Other
6481	5	30	WARLOCK
6170	15	30	SHAMAN
936	6	30	WARRIOR
3173	13	30	ROGUE
3030	5	30	ROGUE
1533	21	30	MAGE
5180	12	30	The Coin
350	40	30	WARRIOR
329	34	30	SHAMAN
559	45	30	NEUTRAL
832	11	30	NEUTRAL
225	46	30	WARRIOR
68	41	2	HUNTER
47	53	2	The Coin
18	64	3	PRIEST
50	37	30	MAGE
50	9	30	The Coin
487	25	30	PALADIN
54	37	30	DRUID
28	65	30	WARRIOR
291	43	3	ROGUE
105	67	2	NEUTRAL
67	33	30	WARLOCK
46	33	30	ROGUE
28	79	2	PRIEST
37	50	3	ROGUE
16	60	2	The Coin
17	38	30	ROGUE
15	65	30	NEUTRAL
1	65	2	PALADIN
6	53	30	SHAMAN
6	51	3	NEUTRAL
1	57	30	PALADIN
3	44	30	WARLOCK
6	48	2	WARLOCK
2	49	30	The Coin
1	57	30	MAGE
247273	32	2	Other
2230989	11	2	Other
13208	54	2	Other
36880	18	2	HUNTER
63096	7	2	WARLOCK
2322	32	2	PALADIN
138	46	2	PALADIN
2063	43	2	PRIEST
62869	3	2	SHAMAN
11267	38	2	WARRIOR
8224	43	2	WARRIOR
13783	22	2	ROGUE
14359	6	2	MAGE
1565	34	2	The Coin
4856	50	2	WARRIOR
3327	55	2	WARRIOR
18639	38	2	NEUTRAL
33887	33	2	NEUTRAL
1962759	22	3	Other
1158526	25	3	Other
48139	24	3	WARLOCK
51789	5	3	WARLOCK
43818	21	3	PALADIN
66129	20	3	PRIEST
15042	34	3	PRIEST
43527	15	3	SHAMAN
12582	6	3	WARRIOR
38623	5	3	ROGUE
1255	38	3	ROGUE
10594	37	3	MAGE
304	49	3	DRUID
5495	37	3	DRUID
6556	33	3	WARLOCK
71618	13	3	ROGUE
59578	17	3	ROGUE
49979	23	30	Other
58900	22	30	Other
28356	27	30	Other
2249	10	30	WARLOCK
3684	42	30	Other
886	22	30	PALADIN
3543	8	30	PRIEST
8725	14	30	SHAMAN
651	2	30	ROGUE
723	25	30	MAGE
1070	23	30	MAGE
320	29	30	MAGE
470	25	30	DRUID
927	40	30	NEUTRAL
265	51	30	PRIEST
653	32	30	WARRIOR
103	54	30	WARRIOR
290	41	2	PALADIN
2836	34	3	HUNTER
754	51	3	PRIEST
6282	34	3	SHAMAN
788	49	3	MAGE
4762	9	3	The Coin
227	57	3	Other
180	54	30	NEUTRAL
32	43	2	HUNTER
86	51	2	The Coin
30	51	3	HUNTER
30	47	2	SHAMAN
229	61	30	Other
213	29	30	DRUID
10	59	2	The Coin
4	6	30	NEUTRAL
40	65	30	PRIEST
51	42	2	ROGUE
31	77	2	PRIEST
32	74	30	Other
27	63	3	PRIEST
99	84	2	Other
42	63	3	WARRIOR
18	59	3	SHAMAN
1	67	3	ROGUE
10	51	30	SHAMAN
6	79	30	WARRIOR
47	49	3	The Coin
13	46	3	NEUTRAL
49	81	2	WARRIOR
5	87	30	WARRIOR
11	11	3	NEUTRAL
1	5	2	NEUTRAL
2	64	2	WARLOCK
9	68	30	NEUTRAL
1	89	30	NEUTRAL
2	45	30	HUNTER
6	40	30	HUNTER
1	56	30	PALADIN
1335968	21	2	Other
2255680	12	2	Other
1670	69	2	Other
3462	29	2	HUNTER
51363	7	2	HUNTER
101815	13	2	WARLOCK
3443	64	2	Other
28896	7	2	PALADIN
10833	29	2	PRIEST
13623	27	2	PRIEST
43041	15	2	WARRIOR
33728	23	2	WARRIOR
229304	4	2	The Coin
10900	39	2	WARRIOR
2326	59	2	WARRIOR
88366	20	2	NEUTRAL
3582	51	2	NEUTRAL
60281	14	2	NEUTRAL
3965	53	2	WARRIOR
1035633	3	3	Other
44262	17	3	SHAMAN
47325	13	3	SHAMAN
50465	20	3	ROGUE
32580	31	3	MAGE
159	54	3	MAGE
43781	18	3	The Coin
7289	26	3	The Coin
45907	19	3	SHAMAN
952	50	3	PRIEST
14879	32	3	DRUID
2752	11	30	WARLOCK
2172	8	30	WARLOCK
1552	30	30	PRIEST
3658	9	30	PRIEST
9386	2	30	SHAMAN
650	24	30	PALADIN
3113	8	30	ROGUE
2493	15	30	ROGUE
163	49	30	WARRIOR
7864	32	3	PALADIN
3165	38	3	SHAMAN
75	30	30	HUNTER
724	30	30	SHAMAN
606	47	3	SHAMAN
17987	31	3	DRUID
23	12	3	NEUTRAL
48	2	3	PRIEST
58	54	3	DRUID
58	36	30	PALADIN
25	52	2	DRUID
157	28	30	The Coin
6	69	30	NEUTRAL
20	36	30	HUNTER
17	69	30	WARRIOR
12	55	2	DRUID
27	43	2	WARLOCK
16	44	30	DRUID
31	49	2	MAGE
8	44	30	MAGE
5	74	2	NEUTRAL
1	62	30	PALADIN
14	70	30	WARRIOR
11	51	3	WARLOCK
4	52	2	MAGE
6	57	2	SHAMAN
1	58	3	WARLOCK
1	51	30	ROGUE
1	79	30	DRUID
2	9	3	NEUTRAL
1	78	30	NEUTRAL
1	53	30	ROGUE
39407	45	2	Other
178943	34	2	Other
10412	56	2	Other
102487	2	2	WARLOCK
162979	5	2	WARLOCK
1553	34	2	PALADIN
24817	14	2	PRIEST
23000	16	2	PRIEST
3412	39	2	PRIEST
274	39	2	SHAMAN
25727	16	2	SHAMAN
26698	26	2	WARRIOR
60056	10	2	ROGUE
12001	22	2	The Coin
431	42	2	The Coin
36955	11	2	SHAMAN
139	82	2	Other
12667	41	2	NEUTRAL
81219	18	2	NEUTRAL
340	63	2	NEUTRAL
13	73	2	NEUTRAL
122	45	2	PALADIN
2798849	19	3	Other
2984345	17	3	Other
2582267	10	3	Other
83	48	3	HUNTER
30833	10	3	PALADIN
1455	48	3	PRIEST
4373	42	3	PRIEST
148	58	3	WARRIOR
840	39	3	ROGUE
145115	3	3	ROGUE
108513	10	3	MAGE
123996	12	3	MAGE
66295	10	3	DRUID
1160	44	3	DRUID
11790	13	3	The Coin
77559	11	3	WARLOCK
62480	4	30	Other
135	31	30	WARLOCK
2442	12	30	PALADIN
2872	10	30	PALADIN
246	52	30	PRIEST
7489	7	30	SHAMAN
2800	22	30	SHAMAN
1900	4	30	MAGE
5134	4	30	DRUID
310	24	30	The Coin
3658	4	30	PALADIN
86	57	30	NEUTRAL
30	64	30	WARRIOR
3721	36	3	PALADIN
202	52	3	SHAMAN
2253	35	3	ROGUE
68	58	30	NEUTRAL
110	56	30	NEUTRAL
8	33	30	The Coin
10	52	30	SHAMAN
59	71	2	PRIEST
68	42	30	SHAMAN
19	1	3	ROGUE
18	48	30	SHAMAN
2	62	30	The Coin
9	56	2	PALADIN
17	78	30	PRIEST
7	54	3	WARLOCK
5	89	2	PRIEST
1	55	30	The Coin
5	41	30	ROGUE
5	51	2	HUNTER
1	58	2	MAGE
1	82	30	NEUTRAL
48848	10	2	HUNTER
2502	29	2	WARLOCK
37528	20	2	WARLOCK
10966	25	2	WARLOCK
25943	22	2	WARLOCK
1867	44	2	PRIEST
60462	4	2	WARRIOR
22517	10	2	WARRIOR
16248	21	2	ROGUE
1832	29	2	ROGUE
33724	3	2	MAGE
23098	18	2	MAGE
38907	18	2	DRUID
590	1	2	DRUID
2414	35	2	DRUID
246	46	2	The Coin
549	2	2	WARRIOR
4230	50	2	NEUTRAL
92514	19	2	NEUTRAL
542308	29	3	Other
55343	15	3	HUNTER
1820	35	3	HUNTER
164	43	3	WARLOCK
61093	23	3	PRIEST
70065	15	3	PRIEST
13510	35	3	PRIEST
20778	27	3	SHAMAN
37523	18	3	WARRIOR
60115	19	3	ROGUE
18863	34	3	MAGE
1123	38	3	WARLOCK
1306	16	30	HUNTER
2721	9	30	WARLOCK
2919	14	30	PRIEST
