nzoth_created_entity,week_of_year,year,game_type,card_class,num_occurances,wins
Mistress of Mixtures,35,2017,BGT_RANKED_STANDARD,MAGE,289,138
Leper Gnome,35,2017,BGT_RANKED_STANDARD,PRIEST,167,91
Frozen Champion,35,2017,BGT_RANKED_STANDARD,WARRIOR,104,65
Cairne Bloodhoof,36,2017,BGT_RANKED_WILD,HUNTER,141,82
Sylvanas Windrunner,36,2017,BGT_RANKED_WILD,MAGE,1034,699
Sludge Belcher,36,2017,BGT_RANKED_WILD,WARLOCK,3333,2097
Infested Tauren,36,2017,BGT_RANKED_WILD,ROGUE,403,243
Twilight Summoner,36,2017,BGT_RANKED_WILD,PRIEST,246,158
Devilsaur Egg,36,2017,BGT_RANKED_WILD,HUNTER,410,187
Raptor Hatchling,36,2017,BGT_RANKED_STANDARD,HUNTER,956,409
Volatile Elemental,36,2017,BGT_RANKED_STANDARD,PRIEST,3163,1872
Mistress of Mixtures,36,2017,BGT_RANKED_WILD,MAGE,563,341
Direhorn Hatchling,36,2017,BGT_RANKED_STANDARD,PRIEST,465,324
Igneous Elemental,36,2017,BGT_RANKED_WILD,PRIEST,161,111
Obsidian Statue,36,2017,BGT_RANKED_WILD,PRIEST,9202,6844
Cairne Bloodhoof,36,2017,BGT_RANKED_STANDARD,WARLOCK,153,95
Dancing Swords,36,2017,BGT_RANKED_WILD,WARRIOR,108,65
"Deathwing, Dragonlord",36,2017,BGT_RANKED_WILD,PRIEST,179,141
Dreadsteed,36,2017,BGT_RANKED_WILD,PRIEST,185,138
Cairne Bloodhoof,37,2017,BGT_RANKED_STANDARD,WARLOCK,122,70
Savannah Highmane,37,2017,BGT_RANKED_WILD,HUNTER,1586,956
Dark Cultist,37,2017,BGT_RANKED_WILD,PRIEST,2720,1838
Polluted Hoarder,37,2017,BGT_RANKED_WILD,PRIEST,161,87
Rat Pack,37,2017,BGT_RANKED_STANDARD,PRIEST,116,100
Devilsaur Egg,37,2017,BGT_RANKED_STANDARD,WARLOCK,244,110
Mistress of Mixtures,37,2017,BGT_RANKED_STANDARD,ROGUE,5060,2677
Bone Drake,37,2017,BGT_RANKED_STANDARD,PRIEST,6159,4316
Loot Hoarder,31,2017,BGT_RANKED_STANDARD,ROGUE,798,511
Toshley,31,2017,BGT_RANKED_WILD,PRIEST,186,127
Boom Bot,31,2017,BGT_RANKED_WILD,DRUID,193,113
Devilsaur Egg,31,2017,BGT_RANKED_WILD,WARLOCK,111,66
Direhorn Hatchling,31,2017,BGT_RANKED_STANDARD,WARRIOR,13588,8646
Direhorn Hatchling,31,2017,BGT_RANKED_WILD,PRIEST,147,107
Loot Hoarder,31,2017,BGT_RANKED_WILD,MAGE,125,68
Cairne Bloodhoof,32,2017,BGT_RANKED_STANDARD,WARRIOR,13611,8754
Cairne Bloodhoof,32,2017,BGT_RANKED_WILD,PRIEST,2650,1892
Mad Scientist,32,2017,BGT_RANKED_WILD,HUNTER,876,499
Voidcaller,32,2017,BGT_RANKED_WILD,WARLOCK,1583,991
Devilsaur Egg,32,2017,BGT_RANKED_WILD,PRIEST,271,180
Loot Hoarder,32,2017,BGT_RANKED_WILD,HUNTER,987,517
Selfless Hero,32,2017,BGT_RANKED_STANDARD,PALADIN,483,275
Runic Egg,32,2017,BGT_RANKED_STANDARD,PRIEST,410,254
Raptor Hatchling,32,2017,BGT_RANKED_STANDARD,PRIEST,545,383
Shallow Gravedigger,32,2017,BGT_RANKED_WILD,HUNTER,121,60
Shallow Gravedigger,32,2017,BGT_RANKED_STANDARD,WARLOCK,177,93
Arfus,32,2017,BGT_RANKED_STANDARD,PRIEST,12648,8950
Backstreet Leper,32,2017,BGT_RANKED_STANDARD,PRIEST,212,128
Giant Anaconda,32,2017,BGT_RANKED_STANDARD,DRUID,400,242
Kindly Grandmother,33,2017,BGT_RANKED_WILD,HUNTER,2852,1522
Weasel Tunneler,33,2017,BGT_RANKED_STANDARD,HUNTER,306,157
Aya Blackpaw,33,2017,BGT_RANKED_STANDARD,PRIEST,1362,933
Tortollan Shellraiser,33,2017,BGT_RANKED_STANDARD,PRIEST,91176,62594
Mistress of Mixtures,33,2017,BGT_RANKED_STANDARD,PRIEST,17599,11415
Igneous Elemental,33,2017,BGT_RANKED_STANDARD,MAGE,218,116
Vryghoul,33,2017,BGT_RANKED_WILD,PRIEST,124,77
Unstable Ghoul,33,2017,BGT_RANKED_WILD,WARLOCK,145,92
Spawn of N'Zoth,33,2017,BGT_RANKED_STANDARD,ROGUE,141,80
Mana Treant,33,2017,BGT_RANKED_STANDARD,ROGUE,141,40
Harvest Golem,34,2017,BGT_RANKED_STANDARD,PRIEST,903,577
Deathlord,34,2017,BGT_RANKED_WILD,WARRIOR,1803,1127
Piloted Shredder,34,2017,BGT_RANKED_WILD,PALADIN,1443,835
Boom Bot,34,2017,BGT_RANKED_WILD,WARRIOR,468,243
Infested Wolf,34,2017,BGT_RANKED_STANDARD,PRIEST,104,82
Southsea Squidface,34,2017,BGT_RANKED_STANDARD,ROGUE,434,226
Polluted Hoarder,34,2017,BGT_RANKED_STANDARD,PRIEST,458,308
Vryghoul,34,2017,BGT_RANKED_STANDARD,ROGUE,205,105
Anomalus,34,2017,BGT_RANKED_STANDARD,MAGE,107,52
Cairne Bloodhoof,35,2017,BGT_RANKED_WILD,PRIEST,1908,1332
Bloodmage Thalnos,35,2017,BGT_RANKED_STANDARD,PALADIN,284,149
Feugen,35,2017,BGT_RANKED_WILD,HUNTER,234,145
Tomb Pillager,35,2017,BGT_RANKED_WILD,ROGUE,1511,876
Possessed Villager,35,2017,BGT_RANKED_WILD,WARLOCK,139,66
Weasel Tunneler,35,2017,BGT_RANKED_STANDARD,PRIEST,133,85
Aya Blackpaw,35,2017,BGT_RANKED_STANDARD,DRUID,302,196
Pyros,35,2017,BGT_RANKED_STANDARD,PRIEST,315,233
Mistress of Mixtures,35,2017,BGT_RANKED_WILD,PALADIN,289,170
Abominable Bowman,35,2017,BGT_RANKED_STANDARD,HUNTER,944,587
"Sherazin, Corpse Flower",35,2017,BGT_RANKED_STANDARD,PRIEST,269,183
Giant Anaconda,35,2017,BGT_RANKED_STANDARD,DRUID,175,116
Tentacle of N'Zoth,35,2017,BGT_RANKED_STANDARD,PRIEST,183,110
Selfless Hero,35,2017,BGT_RANKED_STANDARD,PALADIN,278,136
Volatile Elemental,35,2017,BGT_RANKED_STANDARD,HUNTER,106,53
Anomalus,35,2017,BGT_RANKED_STANDARD,PRIEST,106,73
Loot Hoarder,36,2017,BGT_RANKED_WILD,ROGUE,912,489
Sludge Belcher,36,2017,BGT_RANKED_WILD,ROGUE,18930,13726
Twilight Summoner,36,2017,BGT_RANKED_STANDARD,ROGUE,183,86
Hadronox,36,2017,BGT_RANKED_STANDARD,DRUID,1441,868
Rat Pack,36,2017,BGT_RANKED_WILD,HUNTER,476,259
Cairne Bloodhoof,36,2017,BGT_RANKED_WILD,MAGE,115,68
Pyros,36,2017,BGT_RANKED_WILD,PRIEST,106,74
Arfus,36,2017,BGT_RANKED_STANDARD,MAGE,132,65
Abominable Bowman,36,2017,BGT_RANKED_WILD,HUNTER,185,104
Shallow Gravedigger,36,2017,BGT_RANKED_STANDARD,DRUID,103,47
Sylvanas Windrunner,37,2017,BGT_RANKED_WILD,DRUID,265,157
Piloted Shredder,37,2017,BGT_RANKED_WILD,WARLOCK,1266,797
Infested Tauren,37,2017,BGT_RANKED_WILD,PRIEST,911,617
Infested Tauren,37,2017,BGT_RANKED_STANDARD,WARLOCK,244,134
Shimmering Tempest,37,2017,BGT_RANKED_WILD,MAGE,385,202
Arfus,37,2017,BGT_RANKED_WILD,PRIEST,875,586
Arfus,37,2017,BGT_RANKED_STANDARD,WARRIOR,368,232
Twilight Summoner,37,2017,BGT_RANKED_STANDARD,PALADIN,127,80
Skelemancer,37,2017,BGT_RANKED_WILD,PRIEST,171,118
Loot Hoarder,37,2017,BGT_RANKED_WILD,PALADIN,314,175
Cairne Bloodhoof,37,2017,BGT_RANKED_STANDARD,ROGUE,535,329
Aya Blackpaw,37,2017,BGT_RANKED_WILD,DRUID,109,71
Deathlord,38,2017,BGT_RANKED_WILD,MAGE,1058,625
Jade Swarmer,38,2017,BGT_RANKED_WILD,ROGUE,2263,1374
Mistress of Mixtures,38,2017,BGT_RANKED_WILD,WARLOCK,2054,1210
Bone Drake,38,2017,BGT_RANKED_STANDARD,PRIEST,6078,4295
Obsidian Statue,38,2017,BGT_RANKED_WILD,PRIEST,8084,5906
Shallow Gravedigger,38,2017,BGT_RANKED_STANDARD,WARRIOR,213,134
Shallow Gravedigger,38,2017,BGT_RANKED_WILD,PRIEST,1146,730
Frozen Champion,38,2017,BGT_RANKED_STANDARD,MAGE,1289,750
Bloodmage Thalnos,38,2017,BGT_RANKED_STANDARD,WARLOCK,118,58
Undercity Huckster,38,2017,BGT_RANKED_WILD,ROGUE,1910,1040
Shaky Zipgunner,38,2017,BGT_RANKED_WILD,HUNTER,293,155
Devilsaur Egg,38,2017,BGT_RANKED_STANDARD,HUNTER,1544,801
Devilsaur Egg,38,2017,BGT_RANKED_STANDARD,WARRIOR,246,145
Raptor Hatchling,38,2017,BGT_RANKED_STANDARD,PRIEST,164,124
Harvest Golem,38,2017,BGT_RANKED_WILD,PRIEST,354,222
Anubisath Sentinel,38,2017,BGT_RANKED_WILD,PRIEST,125,87
Pyros,38,2017,BGT_RANKED_WILD,MAGE,663,413
Sludge Belcher,39,2017,BGT_RANKED_WILD,WARLOCK,2640,1637
Boom Bot,39,2017,BGT_RANKED_WILD,PALADIN,708,383
