player_class,card_name,dbfid,times_played,wins
PALADIN,Repentance,232,44435,20705
PALADIN,Sacred Maul,45777,44083,18031
WARRIOR,Armor Up!,2830,43642,18568
WARRIOR,Dead Man's Hand,42766,43585,22289
HUNTER,Bittertide Hydra,41263,42920,21301
ROGUE,Arcane Giant,39426,42228,22345
WARRIOR,Direhorn Hatchling,41890,42220,18921
ROGUE,Sonya Shadowdancer,45263,41956,21454
MAGE,Greater Arcane Missiles,40411,41773,21625
SHAMAN,"Thrall, Deathseer",42987,41670,21306
PRIEST,Bone Drake,42439,41595,21061
PALADIN,Val'anyr,46263,41068,19482
ROGUE,Wax Elemental,43463,40989,20565
PRIEST,Dream,808,40983,28738
PRIEST,Lyra the Sunshard,42046,40981,17798
HUNTER,Stitched Tracker,42707,40574,17778
PRIEST,Wild Pyromancer,1014,40452,15428
PRIEST,Awaken the Makers,41494,40272,16348
DRUID,Vicious Fledgling,41247,39670,18799
WARRIOR,Coldlight Oracle,1016,39512,20010
PRIEST,Loot Hoarder,251,38911,17574
PRIEST,Stonehill Defender,41243,38572,17880
DRUID,Savage Roar,742,38289,22468
PALADIN,Blessing of Wisdom,1373,38154,18211
WARLOCK,Blood Imp,469,38153,16506
PRIEST,Primordial Drake,41929,38088,16834
PRIEST,Ysera Awakens,301,37935,27069
SHAMAN,Unstable Evolution,46303,37712,17414
WARLOCK,Tar Lurker,41194,37542,18688
PRIEST,Diamond Spellstone,46308,37445,23742
PRIEST,Doomsayer,138,37444,16543
MAGE,Arcane Explosion,447,37380,16339
MAGE,Bloodmage Thalnos,749,37259,17305
DRUID,Living Mana,41094,37151,14588
PALADIN,Acherus Veteran,42773,37099,19714
PRIEST,Emerald Drake,489,36615,25001
HUNTER,Rhok'delar,43369,36512,18025
DRUID,Spiteful Summoner,46551,36410,21186
PALADIN,Bittertide Hydra,41263,36229,16971
PRIEST,Plated Beetle,45930,36124,17252
WARLOCK,"Azari, the Devourer",46033,36058,28203
PRIEST,Laughing Sister,340,35937,23414
PRIEST,Holy Nova,841,35535,14789
SHAMAN,Tar Creeper,41418,35491,14803
SHAMAN,Murmuring Elemental,46432,35472,16743
ROGUE,Cobalt Scalebane,42442,35464,16415
HUNTER,Snake Trap,455,35408,18165
WARRIOR,Battle Rage,400,34893,15102
SHAMAN,Saronite Chain Gang,42395,34872,15451
ROGUE,Razorpetal,41206,34869,16747
MAGE,Freezing Potion,40324,34798,16813
PALADIN,Leeroy Jenkins,559,34192,21609
SHAMAN,Fire Elemental,189,33993,15283
ROGUE,Razorpetal Lasher,41208,33975,16574
MAGE,Spiteful Summoner,46551,33957,17948
SHAMAN,Aya Blackpaw,40596,33601,17080
DRUID,The Lich King,42818,32891,16433
PRIEST,Nightmare,217,32788,24132
WARRIOR,Fiery War Axe,401,32348,12553
ROGUE,Dread Corsair,878,32206,16204
PALADIN,Drygulch Jailor,46007,32175,14368
WARLOCK,The Lich King,42818,31954,16402
SHAMAN,Stonehill Defender,41243,31820,13822
WARRIOR,Alley Armorsmith,40574,30958,13198
DRUID,Jungle Giants,41099,30945,12971
HUNTER,Kathrena Winterwisp,46390,30885,17695
PRIEST,Acolyte of Pain,1659,30884,12706
HUNTER,Snipe,814,30812,14140
ROGUE,Spellbreaker,754,30777,13043
WARRIOR,Scourgelord Garrosh,43423,30703,15821
PALADIN,Southsea Deckhand,724,30354,15935
MAGE,Pyros,41162,30316,15017
PRIEST,Death Coil,45384,30311,20675
PRIEST,Death Grip,42590,30069,18965
SHAMAN,Corridor Creeper,43515,30013,15002
WARRIOR,Gather Your Party,46058,29686,14692
SHAMAN,Volcano,41159,29626,8473
ROGUE,Crystal Core,41221,29197,18811
DRUID,Moonfire,467,28984,16157
