"games_played_with_card_in_deck","rank_category","card_name"
155,"Rank15","Dalaran Mage"
423,"Rank5","Infest"
5764,"GrindToLegend","Giant Anaconda"
471,"Rank5","Starfire"
568,"GrindToLegend","Betrayal"
162,"GrindTo10","Pit Lord"
1757,"Legend","Mind Control Tech"
461,"Rank15","Ancient Harbinger"
342,"Legend","Lakkari Felhound"
393,"Rank5","Charged Devilsaur"
228,"GrindTo10","Hidden Cache"
408,"GrindTo5","Nightbane Templar"
216,"Rank5","Grimestreet Protector"
349080,"GrindTo15","Southsea Deckhand"
26478,"other","Naga Corsair"
175523,"Rank15","Maelstrom Portal"
8706,"GrindTo15","Sated Threshadon"
151935,"GrindTo15","Mark of the Lotus"
55577,"Rank5","Fan of Knives"
5127,"other","Small-Time Buccaneer"
335235,"GrindTo10","Elise the Trailblazer"
240805,"GrindTo10","Rockpool Hunter"
231015,"GrindToLegend","Frostbolt"
170384,"Rank10","Mana Wyrm"
18289,"GrindTo15","Shiv"
133084,"Rank10","Jade Claws"
79195,"Rank5","Kabal Courier"
123894,"Rank15","Vicious Fledgling"
6179,"GrindTo10","Soul of the Forest"
33479,"GrindTo5","Lay on Hands"
25306,"GrindTo5","Jade Chieftain"
6977,"other","Argent Protector"
2767,"other","Emerald Reaver"
94665,"Rank5","Spikeridged Steed"
4240,"GrindTo15","Arcane Anomaly"
7052,"Rank15","Violet Teacher"
14762,"GrindTo15","Multi-Shot"
333,"GrindTo15","Aberrant Berserker"
1158,"GrindTo15","Freezing Potion"
974,"Rank15","Grimestreet Pawnbroker"
3483,"other","Stand Against Darkness"
48942,"Rank5","Blizzard"
4133,"GrindTo5","Violet Teacher"
7934,"Rank15","Flame Geyser"
7773,"GrindTo5","Vinecleaver"
554,"other","Pilfered Power"
265,"Rank5","Chittering Tunneler"
3802,"Legend","Blazecaller"
876,"GrindTo5","Elder Longneck"
827,"GrindTo5","Dark Iron Dwarf"
513,"GrindTo5","Sudden Genesis"
1532,"Legend","Ancient of War"
163,"GrindToLegend","Twilight Darkmender"
219,"Legend","Cone of Cold"
1073,"GrindToLegend","Hemet, Jungle Hunter"
1006,"Rank5","Dinomancy"
176,"GrindTo10","Dust Devil"
138,"GrindToLegend","Nerubian Prophet"
134,"GrindTo10","Frost Shock"
59453,"GrindTo15","Kalimos, Primal Lord"
213760,"GrindTo15","Bloodlust"
699570,"GrindTo15","Fire Fly"
13473,"other","Shield Slam"
8411,"GrindTo15","The Marsh Queen"
19537,"GrindTo15","Mire Keeper"
122513,"Rank10","Swipe"
185042,"GrindTo10","Jade Blossom"
225613,"GrindToLegend","Medivh's Valet"
105025,"Rank10","Dragonfire Potion"
69350,"Rank10","Aldor Peacekeeper"
62448,"Rank10","Eaglehorn Bow"
38320,"Legend","Glacial Shard"
5296,"GrindToLegend","Knife Juggler"
113001,"GrindToLegend","Finja, the Flying Star"
8219,"other","Infest"
697,"GrindTo10","Midnight Drake"
1905,"Rank15","Air Elemental"
4561,"other","Grimestreet Protector"
3032,"Rank10","Twilight Elder"
8818,"other","Boulderfist Ogre"
3155,"GrindTo15","Onyxia"
2813,"Rank10","Hallazeal the Ascended"
17082,"GrindTo10","Flame Imp"
562,"Rank15","Redemption"
12240,"GrindTo5","Moonglade Portal"
11403,"GrindTo5","Pint-Size Potion"
3823,"Rank15","Multi-Shot"
1305,"GrindTo15","Blackwater Pirate"
5297,"Rank5","Tortollan Forager"
2734,"Rank15","Sated Threshadon"
2181,"Rank5","Master of Evolution"
1705,"GrindTo10","Starfire"
821,"Legend","C'Thun"
1839,"Rank15","Embrace the Shadow"
673,"GrindTo5","Starving Buzzard"
329,"GrindToLegend","Emerald Hive Queen"
1420,"Rank5","Cone of Cold"
236,"GrindToLegend","Arcane Shot"
336,"GrindToLegend","Blade of C'Thun"
895,"Legend","Bladed Cultist"
132,"Legend","Al'Akir the Windlord"
119,"Rank15","Anomalus"
110,"Rank15","Nat, the Darkfisher"
224,"GrindTo10","Fel Orc Soulfiend"
184669,"GrindTo10","Bloodsail Raider"
81715,"Rank15","Bloodsail Cultist"
25885,"other","SI:7 Agent"
48499,"GrindTo15","Raptor Hatchling"
17394,"GrindTo15","Tidal Surge"
8463,"GrindTo10","Call in the Finishers"
393111,"GrindTo10","The Curator"
33527,"Rank15","Shield Slam"
210286,"GrindTo10","Kabal Crystal Runner"
36241,"GrindTo15","Devilsaur Egg"
144229,"GrindTo10","Vilespine Slayer"
4058,"other","Hemet, Jungle Hunter"
283293,"GrindTo5","Jade Lightning"
195850,"GrindTo10","Mirror Entity"
128190,"GrindToLegend","Preparation"
37470,"other","Devolve"
287765,"Rank15","Arcane Intellect"
55412,"Rank15","Kabal Lackey"
353553,"GrindTo10","Power Word: Shield"
23617,"other","Thoughtsteal"
143740,"GrindToLegend","Eater of Secrets"
14299,"Legend","Execute"
183261,"GrindTo5","Radiant Elemental"
27993,"Legend","Wild Growth"
182433,"Rank5","Medivh's Valet"
44852,"GrindTo10","Infested Tauren"
5620,"Rank15","Ancestral Spirit"
32313,"Legend","Savage Roar"
2361,"Legend","Lay on Hands"
4319,"GrindTo15","Void Terror"
2017,"other","Tauren Warrior"
4604,"other","Twilight Darkmender"
28502,"Legend","Hungry Crab"
2683,"GrindTo5","Soggoth the Slitherer"
23932,"GrindTo10","Undercity Huckster"
105,"other","Darkspeaker"
2365,"Rank10","Sprint"
1318,"other","Nerubian Prophet"
11834,"GrindTo15","Sen'jin Shieldmasta"
1890,"other","Hogger"
2306,"Legend","Jade Chieftain"
2971,"Rank5","Beckoner of Evil"
391,"GrindTo10","Sacrificial Pact"
183,"Rank15","Pint-Sized Summoner"
212,"GrindToLegend","Sinister Strike"
2078,"Legend","Vinecleaver"
582,"Rank15","Boulderfist Ogre"
3000,"Rank5","Grimestreet Informant"
1199,"Legend","Raza the Chained"
817,"Legend","Shadow Bolt"
110,"Rank10","Chillwind Yeti"
169,"GrindTo10","Deadly Fork"
493,"GrindTo10","Noble Sacrifice"
194,"GrindToLegend","Meanstreet Marshal"
137474,"GrindTo15","Mortal Strike"
82818,"Rank15","Dread Corsair"
174723,"GrindTo10","Southsea Captain"
93329,"GrindTo15","Cabalist's Tome"
563108,"GrindTo15","Tar Creeper"
54183,"other","Eviscerate"
26286,"GrindTo15","Earthen Ring Farseer"
144985,"GrindTo15","Fire Plume's Heart"
48901,"other","Jade Blossom"
291616,"GrindTo15","Shadow Visions"
15559,"GrindTo15","Cloaked Huntress"
255693,"GrindTo5","Bloodlust"
56004,"GrindTo10","Lay on Hands"
68588,"Rank5","Stampeding Kodo"
42398,"other","Priest of the Feast"
3660,"other","Inner Rage"
39842,"GrindTo10","Greater Healing Potion"
405236,"GrindTo10","Maelstrom Portal"
202953,"Rank5","Aya Blackpaw"
15933,"GrindTo5","Eggnapper"
22645,"GrindTo15","Darkshire Alchemist"
84985,"GrindToLegend","Lyra the Sunshard"
76922,"Rank5","Power of the Wild"
26352,"Legend","Harrison Jones"
12033,"GrindTo15","Harvest Golem"
6371,"GrindTo15","Manic Soulcaster"
92315,"Rank10","Spikeridged Steed"
8897,"other","Burgly Bully"
12386,"GrindTo10","Gorehowl"
1133,"other","Dalaran Mage"
1045,"GrindTo15","Blood of The Ancient One"
6399,"GrindTo5","Jade Swarmer"
519,"Rank5","Doomhammer"
370,"Rank10","Chittering Tunneler"
7382,"Rank5","Xaril, Poisoned Mind"
413,"GrindTo10","Cyclopian Horror"
4564,"GrindToLegend","Ironbeak Owl"
2928,"Rank10","Dinomancy"
1191,"GrindTo10","Murloc Raider"
498,"Rank15","Hozen Healer"
2032,"GrindToLegend","Bog Creeper"
845,"Rank5","Molten Blade"
1546,"Rank15","Elven Archer"
169,"GrindTo5","Mindgames"
1066,"Legend","Starfall"
1158,"GrindTo5","Forbidden Ritual"
213,"Rank5","Madam Goya"
217,"Rank5","Mana Addict"
155,"GrindToLegend","Mark of Nature"
121,"Rank5","Blood Knight"
13567,"other","Lightning Bolt"
323361,"Rank15","Tar Creeper"
4411,"other","Xaril, Poisoned Mind"
34069,"GrindToLegend","Hex"
10200,"GrindTo15","Terrorscale Stalker"
223427,"GrindTo10","Stampeding Kodo"
39404,"Rank15","Fire Elemental"
66030,"Rank15","N'Zoth, the Corruptor"
157484,"Rank5","Firelands Portal"
22741,"Rank10","Blazecaller"
55937,"GrindTo15","Fire Plume Phoenix"
39666,"Rank10","Lightning Storm"
60212,"GrindTo5","N'Zoth, the Corruptor"
13614,"other","Shellshifter"
67202,"Rank5","Harrison Jones"
82988,"GrindTo5","Twilight Drake"
46963,"Rank5","Direhorn Hatchling"
35971,"Rank10","Archmage Antonidas"
1589,"GrindTo15","Spiked Hogrider"
17424,"Legend","Equality"
3561,"Rank15","Manic Soulcaster"
3037,"Rank15","Snipe"
10391,"GrindTo15","Assassinate"
14949,"Rank5","Argent Squire"
7824,"Rank10","Y'Shaarj, Rage Unbound"
2623,"other","Ancient of Blossoms"
971,"GrindTo10","Ironforge Portal"
7216,"Rank15","Second-Rate Bruiser"
1349,"GrindTo15","Explore Un'Goro"
1136,"other","Street Trickster"
2782,"GrindTo5","Second-Rate Bruiser"
7462,"Rank10","Tortollan Forager"
856,"GrindTo15","Usher of Souls"
195,"other","Anomalus"
9543,"Rank5","Tortollan Shellraiser"
2376,"GrindTo10","Verdant Longneck"
13924,"Rank5","Fiery Bat"
1711,"GrindTo10","Moat Lurker"
1249,"GrindTo5","Felfire Potion"
1126,"Rank10","Blessing of Might"
1345,"Rank10","Cone of Cold"
753,"GrindToLegend","Clutchmother Zavas"
275,"Rank5","Thunder Lizard"
