"games_played_with_card_in_deck","rank_category","card_name"
3518,"Rank10","Grimestreet Informant"
19372,"Rank5","Greater Healing Potion"
753,"GrindTo10","Imp Master"
187,"Rank15","Lord of the Arena"
514,"GrindTo10","Bite"
2940,"GrindToLegend","Bright-Eyed Scout"
1667,"GrindToLegend","Small-Time Recruits"
1322,"GrindTo5","Clutchmother Zavas"
1442,"Rank10","Runic Egg"
1221,"Rank10","Backstreet Leper"
4608,"GrindToLegend","Dark Arakkoa"
115,"Rank10","Brass Knuckles"
900,"GrindTo5","Multi-Shot"
1097,"GrindToLegend","Inkmaster Solia"
547,"GrindToLegend","Lunar Visions"
136,"GrindToLegend","Piranha Launcher"
27202,"Legend","Mortal Strike"
455188,"GrindTo10","Scavenging Hyena"
38397,"Rank15","Eggnapper"
446865,"GrindTo15","Shadow Word: Death"
138916,"Rank15","Bloodhoof Brave"
23442,"GrindTo10","Sunfury Protector"
322092,"Rank15","Preparation"
90952,"GrindToLegend","Vilespine Slayer"
32229,"GrindToLegend","Grimscale Oracle"
334934,"GrindTo5","Gentle Megasaur"
281600,"GrindTo5","Bloodmage Thalnos"
164804,"GrindToLegend","Backstab"
113476,"Legend","Tar Creeper"
10268,"Legend","Fire Plume's Heart"
41996,"Rank5","Archmage Antonidas"
36866,"Rank10","Shield Slam"
39699,"Rank15","Primalfin Lookout"
107507,"GrindTo10","Ivory Knight"
111654,"GrindToLegend","Kabal Courier"
14596,"other","Binding Heal"
56265,"Rank15","Deadly Shot"
13097,"Rank15","White Eyes"
41441,"GrindTo5","Shaku, the Collector"
9835,"other","Lay on Hands"
1797,"GrindTo15","Ancient of Lore"
87047,"Legend","Firelands Portal"
15372,"other","Elder Longneck"
77804,"Rank5","Yogg-Saron, Hope's End"
13579,"GrindTo10","Blowgill Sniper"
168535,"GrindToLegend","Radiant Elemental"
10266,"GrindTo15","Sea Giant"
8600,"GrindTo15","Keeper of the Grove"
3723,"GrindTo5","Crazed Alchemist"
4637,"GrindTo10","Frozen Crusher"
15097,"GrindTo10","Tidal Surge"
148135,"Rank10","Vicious Fledgling"
8484,"GrindTo10","Moroes"
837,"GrindTo5","Feeding Time"
81422,"GrindTo5","Crystalline Oracle"
17553,"GrindTo5","Giant Anaconda"
4766,"other","Bloodfury Potion"
453,"GrindTo10","Gruul"
4275,"Rank10","Violet Teacher"
2629,"GrindTo10","Shieldbearer"
1021,"other","Blade Flurry"
1206,"other","Chittering Tunneler"
15133,"GrindToLegend","Deathwing"
