"player_class","card_name","times_played","wins"
"DRUID","Loot Hoarder",7265,3295
"DRUID","Violet Teacher",7232,3469
"HUNTER","Barnes",7218,3407
"WARRIOR","Harrison Jones",7126,3640
"HUNTER","Hunter's Mark",7075,2889
"HUNTER","Dispatch Kodo",7059,2989
"PRIEST","Nightmare",7046,5226
"MAGE","Kabal Chemist",6981,3251
"PRIEST","Bloodmage Thalnos",6956,3531
"WARLOCK","Demonfire",6944,3110
"HUNTER","Steady Shot",6874,3005
"DRUID","Mounted Raptor",6786,2899
"ROGUE","Malygos",6780,5047
"MAGE","Sylvanas Windrunner",6774,3703
"HUNTER","Snipe",6764,3093
"HUNTER","Scavenging Hyena",6736,2995
"WARRIOR","Murloc Warleader",6716,3280
"SHAMAN","Al'Akir the Windlord",6626,3479
"WARLOCK","Azure Drake",6588,3469
"ROGUE","Ethereal Peddler",6564,2990
"HUNTER","Bear Trap",6514,2678
"ROGUE","Finja, the Flying Star",6455,3776
"SHAMAN","Earth Elemental",6448,2980
"WARRIOR","Golden Monkey",6438,2681
"PRIEST","Darkshire Alchemist",6414,3130
"DRUID","Savage Combatant",6321,2956
"WARLOCK","Argent Squire",6320,2862
"WARRIOR","Hobart Grapplehammer",6238,2881
"PRIEST","Shadow Madness",6232,2959
"DRUID","Sir Finley Mrrgglton",6232,2843
"HUNTER","Call of the Wild",6217,3254
"ROGUE","N'Zoth, the Corruptor",6109,3577
"WARRIOR","Disciple of C'Thun",6097,2609
"WARLOCK","Darkshire Librarian",6072,2721
"DRUID","Starfall",6058,2624
"ROGUE","Defender of Argus",6044,2931
"PALADIN","Sen'jin Shieldmasta",6039,2396
"HUNTER","Huge Toad",6005,2621
"ROGUE","Kingsblood Toxin",5984,2692
"MAGE","Medivh's Valet",5965,2930
"SHAMAN","Master of Evolution",5934,2991
"PRIEST","Fireball",5891,3949
"PRIEST","Confessor Paletress",5873,3347
"WARLOCK","Sen'jin Shieldmasta",5832,2968
"DRUID","Barnes",5802,2971
"SHAMAN","Sylvanas Windrunner",5800,3050
"DRUID","Starfire",5775,2828
"PALADIN","Hammer of Wrath",5768,2741
"SHAMAN","Primal Fusion",5761,3166
"HUNTER","Trogg Beastrager",5751,2298
"ROGUE","Acidic Swamp Ooze",5745,2415
"ROGUE","Gang Up",5730,2820
"WARLOCK","Harrison Jones",5718,3143
"ROGUE","Doomsayer",5715,2234
"SHAMAN","Bluegill Warrior",5629,2515
"PALADIN","Divine Favor",5611,2353
"PRIEST","Jade Lightning",5537,3181
"PRIEST","Deathwing",5462,1624
"HUNTER","Shaky Zipgunner",5460,2173
"WARRIOR","Reckless Rocketeer",5448,2489
"ROGUE","Firebloom Toxin",5425,2626
"ROGUE","Sylvanas Windrunner",5323,2602
"WARRIOR","Netherspite Historian",5235,2429
"SHAMAN","Ancestral Spirit",5217,2759
"HUNTER","Ragnaros the Firelord",5205,2623
"PALADIN","Dirty Rat",5204,2128
"PRIEST","Hex",5163,2387
"DRUID","Beckoner of Evil",5145,2211
"PALADIN","Humility",5012,2094
"WARRIOR","C'Thun's Chosen",4987,2254
"WARRIOR","Ysera",4948,2644
"PRIEST","Lightning Storm",4937,2458
"PALADIN","Meanstreet Marshal",4926,1967
"PRIEST","Scaled Nightmare",4910,2808
"WARLOCK","Patches the Pirate",4898,2363
"HUNTER","Loot Hoarder",4892,2120
"WARLOCK","Crystalweaver",4868,2491
"SHAMAN","Far Sight",4855,2310
"DRUID","The Curator",4854,2270
"PALADIN","Grimestreet Informant",4851,1834
"SHAMAN","The Storm Guardian",4849,2739
"PALADIN","Defender of Argus",4794,2136
"SHAMAN","Leeroy Jenkins",4784,2898
"ROGUE","Briarthorn Toxin",4764,2577
"SHAMAN","Wicked Witchdoctor",4759,2279
"DRUID","Stranglethorn Tiger",4742,2137
"SHAMAN","Stormcrack",4739,2104
"DRUID","Twilight Elder",4716,2142
"PALADIN","The Curator",4705,2594
"PRIEST","Injured Blademaster",4686,1983
"ROGUE","Shadowcaster",4667,2547
"PRIEST","Resurrect",4666,2098
"DRUID","Defender of Argus",4666,2214
"PALADIN","Stampeding Kodo",4656,2455
"SHAMAN","Murloc Warleader",4613,2356
"ROGUE","Lotus Agents",4606,2031
"WARRIOR","Book Wyrm",4574,2169
"DRUID","Lotus Agents",4571,2017
"ROGUE","Vanish",4563,1827
"WARLOCK","Frost Elemental",4536,2235
"PALADIN","Blessing of Kings",4476,2213
"WARLOCK","Kabal Trafficker",4471,2538
"PALADIN","Brann Bronzebeard",4456,1981
"WARLOCK","Cult Apothecary",4449,2250
"SHAMAN","Harrison Jones",4431,2471
"PRIEST","Kabal Chemist",4425,2131
"PRIEST","Maelstrom Portal",4391,2540
"PALADIN","Twilight Guardian",4383,1946
"PALADIN","Netherspite Historian",4382,1984
"PRIEST","Flash Heal",4371,1970
"ROGUE","Refreshment Vendor",4366,1712
"PRIEST","Ancient Watcher",4340,2049
"DRUID","Menagerie Warden",4333,2265
"PRIEST","Deathwing, Dragonlord",4322,2354
"PRIEST","Onyxia",4304,2199
"MAGE","Shatter",4299,2045
