predator_class,predator_name,num_patches_killed
SHAMAN,Jade Golem,122
PALADIN,Southsea Deckhand,121
DRUID,Barnes,121
DRUID,Druid of the Flame,120
SHAMAN,Lowly Squire,120
DRUID,Jade Golem,118
HUNTER,Rat,116
PALADIN,Blackwing Technician,116
SHAMAN,Murloc Raider,116
PRIEST,Cabal Shadow Priest,116
WARRIOR,Whelp,116
SHAMAN,Meanstreet Marshal,115
SHAMAN,Selfless Hero,115
MAGE,Dragon's Breath,115
WARLOCK,Elven Archer,114
SHAMAN,Murloc Tinyfin,114
PRIEST,Museum Curator,114
DRUID,Mounted Raptor,113
ROGUE,Fire Elemental,113
ROGUE,Cruel Taskmaster,113
WARRIOR,Book Wyrm,113
WARLOCK,Volcanic Potion,113
SHAMAN,Possessed Villager,112
ROGUE,Emperor Thaurissan,112
PRIEST,Jade Golem,111
DRUID,Darnassus Aspirant,111
WARRIOR,Inner Rage,111
ROGUE,Nerubian,111
WARLOCK,Infernal,111
HUNTER,Tabbycat,110
DRUID,North Sea Kraken,110
ROGUE,Sleep with the Fishes,109
HUNTER,Trogg Beastrager,109
MAGE,Abyssal Enforcer,109
ROGUE,Acidic Swamp Ooze,107
SHAMAN,Arcane Anomaly,107
WARRIOR,Armorsmith,106
SHAMAN,Grimscale Chum,106
PRIEST,Jade Lightning,106
ROGUE,Inner Rage,105
MAGE,Backstab,105
PRIEST,Ysera,105
HUNTER,Hyena,105
WARRIOR,Wild Pyromancer,104
SHAMAN,Gadgetzan Jouster,104
WARLOCK,Sen'jin Shieldmasta,104
WARRIOR,Harrison Jones,103
DRUID,Twilight Elder,103
ROGUE,Spirit Wolf,103
WARRIOR,Grimy Gadgeteer,102
PRIEST,Eerie Statue,102
WARLOCK,Bloodsail Corsair,102
WARRIOR,Sylvanas Windrunner,102
SHAMAN,Bloodsail Corsair,101
SHAMAN,Dragon Egg,101
SHAMAN,Hungry Crab,101
SHAMAN,Lightwarden,100
DRUID,Druid of the Claw,100
ROGUE,Slam,99
ROGUE,Brann Bronzebeard,99
SHAMAN,Voodoo Doctor,98
HUNTER,Savannah Highmane,97
HUNTER,Snake,97
SHAMAN,Wisp,97
PRIEST,Loot Hoarder,96
PALADIN,Keeper of Uldaman,96
ROGUE,Whirlwind,96
SHAMAN,Bladed Cultist,96
SHAMAN,Runic Egg,96
DRUID,Second-Rate Bruiser,95
HUNTER,Knife Juggler,95
WARLOCK,Whelp,95
SHAMAN,Flame Imp,94
DRUID,The Curator,94
WARLOCK,Holy Nova,94
WARLOCK,Succubus,93
SHAMAN,Buccaneer,93
SHAMAN,Kabal Lackey,92
PRIEST,Hellfire,90
DRUID,Arcane Giant,90
ROGUE,Bash,90
DRUID,Violet Apprentice,90
WARLOCK,Bluegill Warrior,90
HUNTER,Alleria Windrunner,90
SHAMAN,Thunder Bluff Valiant,89
ROGUE,Stormcrack,89
DRUID,Runic Egg,89
PRIEST,Faceless Shambler,89
DRUID,Coldlight Oracle,88
SHAMAN,Brave Archer,88
PRIEST,N'Zoth's First Mate,88
SHAMAN,Frog,88
PRIEST,Lesser Heal,88
HUNTER,Scavenging Hyena,87
DRUID,Keeper of the Grove,86
SHAMAN,Secretkeeper,86
WARLOCK,Worgen Infiltrator,85
MAGE,Blackwing Corruptor,85
PRIEST,Dragonkin Sorcerer,85
ROGUE,Southsea Captain,85
SHAMAN,Twilight Whelp,85
PRIEST,Eviscerate,83
PALADIN,Cyclopian Horror,82
HUNTER,Bluegill Warrior,82
MAGE,Faceless Summoner,81
DRUID,Ironbark Protector,81
WARLOCK,Twilight Guardian,81
PRIEST,Jade Spirit,80
ROGUE,Refreshment Vendor,80
SHAMAN,Weasel Tunneler,80
MAGE,Kirin Tor Mage,80
DRUID,Soggoth the Slitherer,79
HUNTER,Multi-Shot,79
PRIEST,Beckoner of Evil,79
WARRIOR,Leeroy Jenkins,79
HUNTER,Cat in a Hat,78
ROGUE,Defender of Argus,78
MAGE,Mind Spike,78
DRUID,Bog Creeper,78
SHAMAN,Shadowbeast,78
MAGE,Bane of Doom,78
WARLOCK,Cult Apothecary,78
SHAMAN,Goldshire Footman,77
WARLOCK,Abusive Sergeant,77
ROGUE,Aya Blackpaw,76
MAGE,Holy Smite,76
WARLOCK,Backstab,76
SHAMAN,Dirty Rat,76
WARLOCK,Tentacle of N'Zoth,76
PRIEST,Darkshire Alchemist,75
MAGE,Kabal Chemist,75
WARRIOR,Beckoner of Evil,75
PALADIN,Infested Tauren,75
SHAMAN,Reliquary Seeker,75
HUNTER,Wild Pyromancer,75
PALADIN,Brann Bronzebeard,74
ROGUE,Lightning Jolt,74
SHAMAN,Forbidden Ancient,73
DRUID,Fireblast,73
PRIEST,Frothing Berserker,73
SHAMAN,Leper Gnome,73
PRIEST,Bloodsail Raider,72
PRIEST,Blizzard,72
SHAMAN,Young Priestess,72
SHAMAN,Zealous Initiate,72
ROGUE,Earth Shock,71
PALADIN,Netherspite Historian,71
ROGUE,Jade Lightning,70
WARRIOR,Ysera Awakens,70
PALADIN,Small-Time Buccaneer,69
SHAMAN,Alleycat,69
PRIEST,Justicar Trueheart,69
SHAMAN,Loot Hoarder,69
SHAMAN,Blood Imp,69
WARRIOR,Chillmaw,69
SHAMAN,Grimscale Oracle,69
WARRIOR,Backstab,69
SHAMAN,Shifter Zerus,69
MAGE,Twilight Guardian,68
