player_class,card_name,times_played,wins,win_pc
PALADIN,The Silver Hand,1432,807,0.563547486
WARRIOR,Brass Knuckles,1431,527,36.83%
MAGE,Raza the Chained,1430,885,0.6188811189
DRUID,Lesser Heal,1428,520,0.3641456583
HUNTER,Doomsayer,1421,529,0.3722730471
MAGE,C'Thun's Chosen,1419,621,0.4376321353
WARRIOR,Argent Commander,1418,630,44.43%
PRIEST,Potion of Polymorph,1416,785,0.5543785311
MAGE,Fallen Hero,1413,653,0.4621372965
HUNTER,Emperor Thaurissan,1406,624,0.4438122333
ROGUE,Thing from Below,1402,535,0.3815977175
PRIEST,Jade Chieftain,1399,655,0.4681915654
PRIEST,Forbidden Flame,1390,741,0.5330935252
WARLOCK,Arcane Anomaly,1382,677,0.489869754
SHAMAN,Pantry Spider,1381,592,0.4286748733
PRIEST,Jade Spirit,1381,613,0.4438812455
PRIEST,Imp Gang Boss,1379,667,0.4836838289
HUNTER,Desert Camel,1359,562,0.4135393672
WARRIOR,Varian Wrynn,1356,666,49.12%
PRIEST,Fireblast,1354,728,0.5376661743
SHAMAN,Burgly Bully,1354,614,0.4534711965
SHAMAN,Second-Rate Bruiser,1350,575,0.4259259259
MAGE,Servant of Yogg-Saron,1344,541,0.4025297619
ROGUE,Excavated Evil,1343,373,0.277736411
PRIEST,Twin Emperor Vek'lor,1342,671,0.5
ROGUE,Totemic Might,1340,582,0.4343283582
SHAMAN,Defender of Argus,1339,664,0.4958924571
ROGUE,Draenei Totemcarver,1339,545,0.4070201643
WARLOCK,Lightwarden,1337,712,0.5325355273
WARLOCK,Shapeshift,1332,499,0.3746246246
PRIEST,Mindgames,1331,588,0.4417731029
PRIEST,Mulch,1329,611,0.4597441685
PALADIN,Reno Jackson,1329,666,0.5011286682
ROGUE,C'Thun's Chosen,1321,603,0.4564723694
PRIEST,Lightspawn,1320,560,0.4242424242
DRUID,Force of Nature,1313,521,0.3968012186
PALADIN,Twilight Drake,1313,638,0.4859101295
WARLOCK,Steady Shot,1296,549,0.4236111111
ROGUE,Blade of C'Thun,1293,670,0.5181747873
PALADIN,Patches the Pirate,1292,430,0.3328173375
PRIEST,Fel Orc Soulfiend,1289,549,0.4259115593
PRIEST,Spawn of Shadows,1282,875,0.6825273011
ROGUE,Reckless Rocketeer,1280,637,0.49765625
MAGE,Imp Gang Boss,1280,716,0.559375
DRUID,Infested Tauren,1268,567,0.4471608833
WARLOCK,Jeweled Scarab,1267,527,0.4159431728
PRIEST,Freezing Potion,1267,632,0.498816101
MAGE,Lord Jaraxxus,1265,729,0.576284585
PALADIN,Knife Juggler,1264,490,0.3876582278
MAGE,Animated Armor,1264,648,0.5126582278
SHAMAN,Infested Tauren,1264,582,0.460443038
PRIEST,Truesilver Champion,1262,682,0.5404120444
PRIEST,Shadowflame,1261,454,0.3600317209
ROGUE,Grimestreet Smuggler,1259,586,0.4654487689
PALADIN,Armor Up!,1258,430,0.3418124006
WARRIOR,Bloodsail Corsair,1255,535,42.63%
ROGUE,Jade Chieftain,1254,521,0.4154704944
ROGUE,Beckoner of Evil,1252,523,0.4177316294
PRIEST,Jade Behemoth,1250,527,0.4216
SHAMAN,Coldlight Oracle,1249,452,0.3618895116
PRIEST,Grommash Hellscream,1242,841,0.6771336554
PRIEST,Prince Malchezaar,1236,596,0.4822006472
SHAMAN,Hammer of Twilight,1235,611,0.4947368421
PRIEST,Harvest Golem,1229,570,0.4637917006
DRUID,Cairne Bloodhoof,1223,600,0.4905968929
PRIEST,Frothing Berserker,1217,895,0.7354149548
ROGUE,Cutpurse,1216,544,0.4473684211
MAGE,Shadow Word: Death,1216,622,0.5115131579
PALADIN,Guardian of Kings,1214,473,0.3896210873
PRIEST,Twilight Summoner,1213,655,0.539983512
PRIEST,Ethereal Conjurer,1212,693,0.5717821782
WARLOCK,Friendly Bartender,1207,589,0.487986744
MAGE,Dreadsteed,1202,669,0.5565723794
MAGE,Felguard,1199,644,0.5371142619
PALADIN,Blowgill Sniper,1199,436,0.3636363636
HUNTER,Armor Up!,1198,504,0.4207011686
SHAMAN,Cursed!,1194,499,0.4179229481
MAGE,Thoughtsteal,1188,620,0.5218855219
PRIEST,"Finja, the Flying Star",1184,631,0.5329391892
PRIEST,Preparation,1179,589,0.4995759118
WARLOCK,Cairne Bloodhoof,1178,666,0.5653650255
ROGUE,Thunder Bluff Valiant,1178,507,0.4303904924
SHAMAN,Acolyte of Pain,1176,563,0.4787414966
PRIEST,SI:7 Agent,1168,760,0.6506849315
MAGE,Siphon Soul,1165,608,0.521888412
SHAMAN,Forked Lightning,1165,390,0.3347639485
PALADIN,Divine Strength,1163,482,0.4144453998
PRIEST,Fan of Knives,1161,536,0.4616709733
PRIEST,White Eyes,1160,605,0.5215517241
DRUID,Dirty Rat,1159,489,0.4219154443
PRIEST,Novice Engineer,1159,455,0.3925798102
WARLOCK,Bluegill Warrior,1158,449,0.3877374784
