"player_class","card_name","times_played","wins"
"PRIEST","Justicar Trueheart",2639,1365
"DRUID","Menagerie Warden",2630,1362
"MAGE","Kazakus Potion",2595,1214
"WARLOCK","Bane of Doom",2559,1088
"PRIEST","Dream",2534,1606
"ROGUE","Bloodthistle Toxin",2504,1157
"DRUID","Runic Egg",2496,1155
"PALADIN","Blessing of Kings",2493,1249
"PALADIN","Rallying Blade",2470,1192
"DRUID","Finja, the Flying Star",2450,1441
"PALADIN","Small-Time Recruits",2436,1054
"PRIEST","Emerald Drake",2410,1625
"PRIEST","Hex",2394,1177
"SHAMAN","Hallazeal the Ascended",2381,1253
"PALADIN","Stampeding Kodo",2358,1194
"ROGUE","Southsea Captain",2353,1152
"PRIEST","Jade Lightning",2352,1275
"PALADIN","Infested Tauren",2343,1079
"DRUID","Sylvanas Windrunner",2337,1161
"ROGUE","Reno Jackson",2334,1146
"PALADIN","Fight Promoter",2332,1173
"MAGE","Twilight Flamecaller",2326,1068
"WARLOCK","Sea Giant",2314,1240
"PRIEST","Laughing Sister",2309,1408
"PRIEST","Resurrect",2301,974
"DRUID","Life Tap",2299,1111
"PRIEST","Lightning Storm",2297,1165
"WARRIOR","King's Defender",2278,1056
"DRUID","Bloodsail Corsair",2269,1156
"PALADIN","Flame Juggler",2260,916
"WARLOCK","Kabal Trafficker",2259,1224
"PRIEST","Cairne Bloodhoof",2254,1240
"WARRIOR","Battle Rage",2252,937
"DRUID","Lotus Agents",2249,1008
"PRIEST","Ancient Watcher",2235,1083
"PRIEST","Nightmare",2234,1632
