game_date,game_type,dbf_id,card_name,card_included_in_games_qdklw,wins,win_rate,total_games_for_card
2017-12-07,2,41099,Jungle Giants,744,340,45.69,744
2017-12-07,2,41168,Open the Waygate,20072,9022,44.94,20048
2017-12-07,2,41222,The Caverns Below,1081,487,45.05,1081
2017-12-07,2,41368,The Marsh Queen,569,230,40.42,569
2017-12-07,2,41427,Fire Plume's Heart,2833,1408,49.69,2833
2017-12-07,2,41494,Awaken the Makers,3156,1538,48.73,3153
2017-12-07,2,41499,Unite the Murlocs,403,194,48.13,403
2017-12-07,2,41856,Lakkari Sacrifice,2115,834,39.43,2112
2017-12-07,2,41868,The Last Kaleidosaur,1458,629,43.14,1458
2017-12-07,2,42987,"Thrall, Deathseer",19523,10577,54.17,19500
2017-12-07,2,43369,Rhok'delar,8718,5370,61.59,8700
2017-12-07,2,43392,Valeera the Hollow,11653,5057,43.39,11642
2017-12-07,2,43398,Deathstalker Rexxar,26780,15195,56.74,26725
2017-12-07,2,43406,Uther of the Ebon Blade,6438,3297,51.21,6436
2017-12-07,2,43408,Shadowreaper Anduin,75101,40652,54.12,74636
2017-12-07,2,43415,Bloodreaver Gul'dan,60226,32315,53.65,59809
2017-12-07,2,43417,Malfurion the Pestilent,45130,24170,53.55,44956
2017-12-07,2,43419,Frost Lich Jaina,22102,11047,49.98,22047
2017-12-07,2,43423,Scourgelord Garrosh,8031,3708,46.17,8023
2017-12-07,2,43426,Aluneth,7818,4367,55.85,7799
2017-12-07,2,45528,Dragon Soul,3149,1484,47.12,3149
2017-12-07,2,46077,Woecleaver,1540,698,45.32,1537
2017-12-07,2,46107,Twig of the World Tree,1882,957,50.85,1881
2017-12-07,2,46263,Val'anyr,2363,1138,48.15,2363
2017-12-07,2,46299,Skull of the Man'ari,4264,2195,51.47,4251
2017-12-07,2,46305,The Runespear,700,338,48.28,700
2017-12-07,2,47035,Kingsbane,9643,4249,44.06,9619
2017-12-08,2,41099,Jungle Giants,1575,750,47.61,1575
2017-12-08,2,41168,Open the Waygate,13846,5625,40.62,13837
2017-12-08,2,41222,The Caverns Below,3260,1471,45.12,3260
2017-12-08,2,41368,The Marsh Queen,378,127,33.59,378
2017-12-08,2,41427,Fire Plume's Heart,2977,1397,46.92,2977
2017-12-08,2,41494,Awaken the Makers,8043,3896,48.43,8032
2017-12-08,2,41499,Unite the Murlocs,243,122,50.2,243
2017-12-08,2,41856,Lakkari Sacrifice,4825,1814,37.59,4825
2017-12-08,2,41868,The Last Kaleidosaur,4499,1957,43.49,4498
2017-12-08,2,42987,"Thrall, Deathseer",12788,6514,50.93,12778
2017-12-08,2,43369,Rhok'delar,65299,38640,59.17,65100
2017-12-08,2,43392,Valeera the Hollow,25978,10766,41.44,25956
2017-12-08,2,43398,Deathstalker Rexxar,80176,46436,57.91,79878
2017-12-08,2,43406,Uther of the Ebon Blade,7217,3713,51.44,7216
2017-12-08,2,43408,Shadowreaper Anduin,67824,37690,55.57,67548
2017-12-08,2,43415,Bloodreaver Gul'dan,97109,51976,53.52,96179
2017-12-08,2,43417,Malfurion the Pestilent,39090,21014,53.75,38994
2017-12-08,2,43419,Frost Lich Jaina,34105,16701,48.96,34032
2017-12-08,2,43423,Scourgelord Garrosh,13074,5991,45.82,13058
2017-12-08,2,43426,Aluneth,55509,31314,56.41,55362
2017-12-08,2,45528,Dragon Soul,15099,6840,45.3,15077
2017-12-08,2,46077,Woecleaver,10299,4970,48.25,10292
2017-12-08,2,46107,Twig of the World Tree,12200,6396,52.42,12194
2017-12-08,2,46263,Val'anyr,28402,16181,56.97,28355
2017-12-08,2,46299,Skull of the Man'ari,30509,16252,53.26,30410
2017-12-08,2,46305,The Runespear,3422,1575,46.02,3420
2017-12-08,2,47035,Kingsbane,52718,23804,45.15,52624
2017-12-09,2,41099,Jungle Giants,1792,833,46.48,1792
2017-12-09,2,41168,Open the Waygate,12573,5140,40.88,12568
2017-12-09,2,41222,The Caverns Below,3301,1460,44.22,3300
2017-12-09,2,41368,The Marsh Queen,436,191,43.8,436
2017-12-09,2,41427,Fire Plume's Heart,3331,1586,47.61,3331
2017-12-09,2,41494,Awaken the Makers,7237,3456,47.75,7231
2017-12-09,2,41499,Unite the Murlocs,283,133,46.99,283
2017-12-09,2,41856,Lakkari Sacrifice,3640,1332,36.59,3636
2017-12-09,2,41868,The Last Kaleidosaur,3857,1583,41.04,3857
2017-12-09,2,42987,"Thrall, Deathseer",14410,7284,50.54,14403
2017-12-09,2,43369,Rhok'delar,79462,46029,57.92,79202
2017-12-09,2,43392,Valeera the Hollow,27830,11562,41.54,27789
2017-12-09,2,43398,Deathstalker Rexxar,96283,54954,57.07,95909
2017-12-09,2,43406,Uther of the Ebon Blade,7576,3848,50.79,7569
2017-12-09,2,43408,Shadowreaper Anduin,87376,48358,55.34,86954
2017-12-09,2,43415,Bloodreaver Gul'dan,115575,62038,53.67,114556
2017-12-09,2,43417,Malfurion the Pestilent,48965,25831,52.75,48793
2017-12-09,2,43419,Frost Lich Jaina,43242,21314,49.29,43125
2017-12-09,2,43423,Scourgelord Garrosh,18062,8610,47.66,18041
2017-12-09,2,43426,Aluneth,72393,40560,56.02,72181
2017-12-09,2,45528,Dragon Soul,11254,5142,45.69,11247
2017-12-09,2,46077,Woecleaver,15520,7691,49.55,15502
2017-12-09,2,46107,Twig of the World Tree,11085,5557,50.13,11082
2017-12-09,2,46263,Val'anyr,38719,22222,57.39,38621
2017-12-09,2,46299,Skull of the Man'ari,29024,15183,52.31,28939
2017-12-09,2,46305,The Runespear,3872,1748,45.14,3871
2017-12-09,2,47035,Kingsbane,57388,25682,44.75,57289
2017-12-10,2,41099,Jungle Giants,1750,755,43.14,1750
2017-12-10,2,41168,Open the Waygate,11234,4589,40.84,11230
2017-12-10,2,41222,The Caverns Below,3191,1398,43.81,3189
2017-12-10,2,41368,The Marsh Queen,366,164,44.8,366
2017-12-10,2,41427,Fire Plume's Heart,4296,2072,48.23,4295
2017-12-10,2,41494,Awaken the Makers,8029,3834,47.75,8020
2017-12-10,2,41499,Unite the Murlocs,225,110,48.88,225
2017-12-10,2,41856,Lakkari Sacrifice,3097,1127,36.39,3092
2017-12-10,2,41868,The Last Kaleidosaur,3264,1349,41.32,3264
2017-12-10,2,42987,"Thrall, Deathseer",14621,7445,50.91,14616
2017-12-10,2,43369,Rhok'delar,73037,41391,56.67,72849
2017-12-10,2,43392,Valeera the Hollow,25676,10490,40.85,25661
2017-12-10,2,43398,Deathstalker Rexxar,89951,50448,56.08,89671
2017-12-10,2,43406,Uther of the Ebon Blade,8672,4497,51.85,8669
2017-12-10,2,43408,Shadowreaper Anduin,95473,52871,55.37,94993
2017-12-10,2,43415,Bloodreaver Gul'dan,131866,70230,53.25,130560
2017-12-10,2,43417,Malfurion the Pestilent,49740,26068,52.4,49594
2017-12-10,2,43419,Frost Lich Jaina,42568,20900,49.09,42438
2017-12-10,2,43423,Scourgelord Garrosh,16095,7698,47.82,16084
2017-12-10,2,43426,Aluneth,86876,48347,55.65,86577
2017-12-10,2,45528,Dragon Soul,10224,4723,46.19,10220
2017-12-10,2,46077,Woecleaver,12773,6219,48.68,12767
2017-12-10,2,46107,Twig of the World Tree,12004,6128,51.04,11997
2017-12-10,2,46263,Val'anyr,49380,28287,57.28,49221
2017-12-10,2,46299,Skull of the Man'ari,27179,14099,51.87,27113
2017-12-10,2,46305,The Runespear,3494,1584,45.33,3494
2017-12-10,2,47035,Kingsbane,48931,21747,44.44,48849
2017-12-11,2,41099,Jungle Giants,1282,583,45.47,1282
2017-12-11,2,41168,Open the Waygate,8849,3607,40.76,8847
2017-12-11,2,41222,The Caverns Below,2632,1169,44.41,2632
2017-12-11,2,41368,The Marsh Queen,268,104,38.8,268
2017-12-11,2,41427,Fire Plume's Heart,3488,1688,48.39,3487
2017-12-11,2,41494,Awaken the Makers,6721,3067,45.63,6716
2017-12-11,2,41499,Unite the Murlocs,312,156,50,312
2017-12-11,2,41856,Lakkari Sacrifice,2262,821,36.29,2261
2017-12-11,2,41868,The Last Kaleidosaur,2367,935,39.5,2367
2017-12-11,2,42987,"Thrall, Deathseer",12648,6424,50.79,12642
2017-12-11,2,43369,Rhok'delar,54375,30333,55.78,54254
2017-12-11,2,43392,Valeera the Hollow,21674,8835,40.76,21658
2017-12-11,2,43398,Deathstalker Rexxar,67691,37072,54.76,67500
2017-12-11,2,43406,Uther of the Ebon Blade,6912,3560,51.5,6911
2017-12-11,2,43408,Shadowreaper Anduin,91436,50653,55.39,90920
2017-12-11,2,43415,Bloodreaver Gul'dan,121402,65278,53.77,120142
2017-12-11,2,43417,Malfurion the Pestilent,45951,23934,52.08,45802
2017-12-11,2,43419,Frost Lich Jaina,34290,16863,49.17,34206
2017-12-11,2,43423,Scourgelord Garrosh,15407,7222,46.87,15391
2017-12-11,2,43426,Aluneth,73129,39928,54.59,72879
2017-12-11,2,45528,Dragon Soul,7758,3516,45.32,7755
2017-12-11,2,46077,Woecleaver,11515,5633,48.91,11508
2017-12-11,2,46107,Twig of the World Tree,10083,5050,50.08,10077
2017-12-11,2,46263,Val'anyr,39088,21934,56.11,38978
2017-12-11,2,46299,Skull of the Man'ari,20164,10352,51.33,20120
2017-12-11,2,46305,The Runespear,2966,1383,46.62,2966
2017-12-11,2,47035,Kingsbane,37540,16433,43.77,37495
2017-12-12,2,41099,Jungle Giants,156,50,32.05,156
2017-12-12,2,41168,Open the Waygate,759,329,43.34,759
2017-12-12,2,41222,The Caverns Below,210,98,46.66,210
2017-12-12,2,41368,The Marsh Queen,32,15,46.87,32
2017-12-12,2,41427,Fire Plume's Heart,268,120,44.77,268
2017-12-12,2,41494,Awaken the Makers,634,289,45.58,634
2017-12-12,2,41499,Unite the Murlocs,24,14,58.33,24
2017-12-12,2,41856,Lakkari Sacrifice,230,91,39.56,230
2017-12-12,2,41868,The Last Kaleidosaur,209,89,42.58,209
2017-12-12,2,42987,"Thrall, Deathseer",1226,647,52.77,1226
2017-12-12,2,43369,Rhok'delar,3998,2228,55.72,3987
2017-12-12,2,43392,Valeera the Hollow,1892,796,42.07,1890
2017-12-12,2,43398,Deathstalker Rexxar,5088,2782,54.67,5075
2017-12-12,2,43406,Uther of the Ebon Blade,780,400,51.28,778
2017-12-12,2,43408,Shadowreaper Anduin,8525,4712,55.27,8463
2017-12-12,2,43415,Bloodreaver Gul'dan,11089,5942,53.58,10964
2017-12-12,2,43417,Malfurion the Pestilent,4550,2363,51.93,4534
2017-12-12,2,43419,Frost Lich Jaina,3064,1546,50.45,3052
2017-12-12,2,43423,Scourgelord Garrosh,1386,638,46.03,1382
2017-12-12,2,43426,Aluneth,6331,3472,54.84,6312
2017-12-12,2,45528,Dragon Soul,689,312,45.28,689
2017-12-12,2,46077,Woecleaver,1078,520,48.23,1077
2017-12-12,2,46107,Twig of the World Tree,988,473,47.87,987
2017-12-12,2,46263,Val'anyr,3573,1996,55.86,3564
2017-12-12,2,46299,Skull of the Man'ari,1671,842,50.38,1666
2017-12-12,2,46305,The Runespear,270,125,46.29,270
2017-12-12,2,47035,Kingsbane,3028,1334,44.05,3023
2017-04-06,30,41099,Jungle Giants,109,43,39.44,109
2017-04-06,30,41168,Open the Waygate,431,218,50.58,430
2017-04-06,30,41222,The Caverns Below,265,115,43.39,265
2017-04-06,30,41368,The Marsh Queen,219,88,40.18,218
2017-04-06,30,41427,Fire Plume's Heart,482,240,49.79,482
2017-04-06,30,41494,Awaken the Makers,1335,745,55.8,1320
2017-04-06,30,41499,Unite the Murlocs,385,235,61.03,385
2017-04-06,30,41856,Lakkari Sacrifice,163,66,40.49,163
2017-04-06,30,41868,The Last Kaleidosaur,115,41,35.65,115
2017-04-07,30,41099,Jungle Giants,648,301,46.45,648
2017-04-07,30,41168,Open the Waygate,2018,895,44.35,2016
2017-04-07,30,41222,The Caverns Below,2557,1147,44.85,2552
2017-04-07,30,41368,The Marsh Queen,937,355,37.88,937
2017-04-07,30,41427,Fire Plume's Heart,1760,852,48.4,1760
2017-04-07,30,41494,Awaken the Makers,6112,3193,52.24,6050
2017-04-07,30,41499,Unite the Murlocs,1675,978,58.38,1671
2017-04-07,30,41856,Lakkari Sacrifice,891,425,47.69,891
2017-04-07,30,41868,The Last Kaleidosaur,450,173,38.44,450
2017-04-08,30,41099,Jungle Giants,848,369,43.51,848
2017-04-08,30,41168,Open the Waygate,3158,1404,44.45,3157
