games_won,games_played,went_first,card_played,player_class
10,22,TRUE,Zealous Initiate,HUNTER
17,25,TRUE,Zealous Initiate,DRUID
42,75,TRUE,Zealous Initiate,PALADIN
6,7,TRUE,Patches the Pirate,ROGUE
1,2,TRUE,Patches the Pirate,PRIEST
1,1,TRUE,Loot Hoarder,ROGUE
2,6,TRUE,Arcane Missiles,MAGE
12,15,TRUE,Young Dragonhawk,MAGE
1,6,TRUE,Leper Gnome,WARRIOR
3,4,TRUE,Jungle Panther,DRUID
14,20,TRUE,Bloodsail Corsair,PALADIN
0,2,TRUE,Lightwarden,WARRIOR
3,5,TRUE,Undertaker,WARRIOR
2,3,TRUE,Target Dummy,PALADIN
7,8,TRUE,Weasel Tunneler,WARLOCK
3,4,TRUE,Weasel Tunneler,ROGUE
2161,3994,TRUE,NULL,DRUID
2875,5054,TRUE,NULL,HUNTER
7446,12588,TRUE,NULL,PALADIN
7733,15266,FALSE,NULL,ROGUE
5,9,TRUE,Tentacle of N'Zoth,ROGUE
3,8,TRUE,Goldshire Footman,DRUID
1,1,TRUE,Anodized Robo Cub,DRUID
1,4,TRUE,Forbidden Ancient,DRUID
2,4,TRUE,Bilefin Tidehunter,ROGUE
1,2,TRUE,Patches the Pirate,HUNTER
2,4,TRUE,Wisp,MAGE
1,1,TRUE,Pompous Thespian,ROGUE
0,1,TRUE,Young Dragonhawk,ROGUE
3,3,TRUE,Murloc Tinyfin,PRIEST
2,2,TRUE,Hungry Crab,WARLOCK
2,3,TRUE,Runic Egg,WARRIOR
1,3,TRUE,Sir Finley Mrrgglton,ROGUE
0,1,TRUE,Sir Finley Mrrgglton,WARLOCK
1,1,TRUE,Silverback Patriarch,DRUID
1,1,TRUE,Wisp,WARRIOR
39,68,TRUE,Voodoo Doctor,MAGE
4,8,TRUE,Secretkeeper,PRIEST
11,24,TRUE,Murloc Raider,SHAMAN
7,13,TRUE,Abusive Sergeant,WARLOCK
18,26,TRUE,Elven Archer,HUNTER
249,358,TRUE,Blood Imp,WARLOCK
4,8,TRUE,Young Dragonhawk,SHAMAN
42,72,TRUE,Southsea Deckhand,PALADIN
29,49,TRUE,Southsea Deckhand,SHAMAN
256,364,TRUE,Argent Squire,WARLOCK
36,62,TRUE,Argent Squire,WARRIOR
220,348,TRUE,Argent Squire,PALADIN
10,16,TRUE,Goldshire Footman,ROGUE
91,141,TRUE,Worgen Infiltrator,HUNTER
745,1133,TRUE,Northshire Cleric,PRIEST
93,142,TRUE,Zombie Chow,WARRIOR
116,176,TRUE,Zombie Chow,DRUID
134,194,TRUE,Zombie Chow,HUNTER
37,57,TRUE,Cogmaster,PALADIN
121,214,TRUE,Clockwork Gnome,PALADIN
109,175,TRUE,Clockwork Gnome,PRIEST
38,67,TRUE,Clockwork Gnome,WARRIOR
197,302,TRUE,Twilight Whelp,PRIEST
207,327,TRUE,Living Roots,DRUID
82,134,TRUE,Gadgetzan Jouster,PRIEST
211,312,TRUE,Pit Snake,ROGUE
54,81,TRUE,Zealous Initiate,WARLOCK
267,438,TRUE,Fiery Bat,HUNTER
189,291,TRUE,Selfless Hero,PALADIN
682,1046,TRUE,Babbling Book,MAGE
101,159,TRUE,Arcane Anomaly,MAGE
44,68,TRUE,Arcane Anomaly,SHAMAN
34,61,TRUE,Arcane Anomaly,PALADIN
901,1363,TRUE,Smuggler's Run,PALADIN
38,77,TRUE,Getaway Kodo,PALADIN
5,8,TRUE,Small-Time Buccaneer,MAGE
35,57,TRUE,Small-Time Buccaneer,HUNTER
95,157,TRUE,Smuggler's Crate,HUNTER
434,661,TRUE,Mistress of Mixtures,ROGUE
425,674,TRUE,Mistress of Mixtures,PRIEST
100,181,TRUE,Mistress of Mixtures,WARRIOR
144,217,TRUE,Mistress of Mixtures,DRUID
6,16,TRUE,Voodoo Doctor,HUNTER
17,33,TRUE,Voodoo Doctor,PRIEST
2,4,TRUE,Secretkeeper,WARRIOR
18,28,TRUE,Mirror Entity,MAGE
17,23,TRUE,Repentance,PALADIN
8,15,TRUE,Abusive Sergeant,SHAMAN
1,3,TRUE,Abusive Sergeant,PRIEST
3,5,TRUE,Abusive Sergeant,WARRIOR
19,38,TRUE,Elven Archer,PALADIN
20,39,TRUE,Elven Archer,SHAMAN
6,14,TRUE,Murloc Tidecaller,PALADIN
1,5,TRUE,Grimscale Oracle,ROGUE
4,7,TRUE,Young Dragonhawk,PRIEST
7,15,TRUE,Stonetusk Boar,ROGUE
12,21,TRUE,Stonetusk Boar,MAGE
4,6,TRUE,Stonetusk Boar,DRUID
18,31,TRUE,Leper Gnome,WARLOCK
7,16,TRUE,Leper Gnome,SHAMAN
19,32,TRUE,Southsea Deckhand,MAGE
27,37,TRUE,Southsea Deckhand,HUNTER
19,28,TRUE,Southsea Deckhand,WARLOCK
4,4,TRUE,Shieldbearer,SHAMAN
16,23,TRUE,Goldshire Footman,SHAMAN
2,6,TRUE,Goldshire Footman,WARRIOR
8,21,TRUE,Goldshire Footman,PRIEST
197,312,TRUE,Worgen Infiltrator,PALADIN
1,3,TRUE,Bloodsail Corsair,WARRIOR
7,10,TRUE,Bloodsail Corsair,HUNTER
31,44,TRUE,Young Priestess,HUNTER
45,70,TRUE,Young Priestess,PALADIN
39,63,TRUE,Young Priestess,PRIEST
6,13,TRUE,Lightwarden,MAGE
14,21,TRUE,Undertaker,SHAMAN
4,10,TRUE,Cogmaster,HUNTER
68,104,TRUE,Cogmaster,MAGE
6,12,TRUE,Cogmaster,WARRIOR
5,7,TRUE,Cogmaster,DRUID
12,19,TRUE,Dragon Egg,ROGUE
7,12,TRUE,Dragon Egg,DRUID
32,55,TRUE,Lowly Squire,HUNTER
31,46,TRUE,Lowly Squire,DRUID
16,22,TRUE,Injured Kvaldir,HUNTER
40,63,TRUE,Injured Kvaldir,PRIEST
2,8,TRUE,Injured Kvaldir,DRUID
2,2,TRUE,Dragonhawk Rider,DRUID
1,3,TRUE,Murloc Tinyfin,DRUID
7,10,TRUE,Murloc Tinyfin,WARLOCK
6,13,TRUE,Cursed Blade,WARRIOR
40,78,TRUE,Zealous Initiate,MAGE
38,49,TRUE,Zealous Initiate,SHAMAN
7,13,TRUE,Zealous Initiate,WARRIOR
60,96,TRUE,Arcane Anomaly,WARLOCK
6,11,TRUE,Runic Egg,ROGUE
27,53,TRUE,Finders Keepers,SHAMAN
19,43,TRUE,Meanstreet Marshal,PALADIN
4,12,TRUE,Abusive Sergeant,PALADIN
2,4,TRUE,Shadowstep,ROGUE
8,19,TRUE,Undertaker,PRIEST
2,3,TRUE,Target Dummy,WARRIOR
0,1,TRUE,Tinkertown Technician,DRUID
3,7,TRUE,Dragon Egg,HUNTER
2,2,TRUE,Cutpurse,ROGUE
11192,19285,TRUE,NULL,MAGE
7344,12271,TRUE,NULL,PRIEST
5087,8905,TRUE,NULL,SHAMAN
1909,3533,TRUE,NULL,WARRIOR
4,5,TRUE,Wisp,ROGUE
3,4,TRUE,Murloc Tidecaller,HUNTER
1,1,TRUE,Bloodsail Raider,DRUID
1,1,TRUE,Sir Finley Mrrgglton,SHAMAN
3,5,TRUE,Runic Egg,HUNTER
4,10,TRUE,Voodoo Doctor,DRUID
5,6,TRUE,Defias Ringleader,ROGUE
1,5,TRUE,Lightwarden,ROGUE
1,2,TRUE,Angry Chicken,PRIEST
4,6,TRUE,Injured Kvaldir,WARRIOR
2,3,TRUE,Murloc Tinyfin,MAGE
1,7,TRUE,Small-Time Buccaneer,DRUID
2,3,TRUE,Secretkeeper,SHAMAN
1,1,TRUE,Wolfrider,DRUID
0,1,TRUE,Target Dummy,HUNTER
0,1,TRUE,Reliquary Seeker,WARLOCK
0,1,TRUE,Mark of the Lotus,DRUID
1,1,TRUE,Toxic Sewer Ooze,DRUID
1,2,TRUE,Wisp,DRUID
2,2,TRUE,Grimscale Oracle,HUNTER
1,1,TRUE,Zoobot,DRUID
0,2,TRUE,Young Dragonhawk,WARRIOR
1,1,TRUE,Eydis Darkbane,DRUID
1,1,TRUE,Pompous Thespian,DRUID
1,1,TRUE,Master Swordsmith,ROGUE
1,1,TRUE,Angry Chicken,PALADIN
0,1,TRUE,Angry Chicken,MAGE
0,1,TRUE,Target Dummy,PRIEST
