avg_attack,average_health,player_class,turn
2.6894,2.6766,HUNTER,11
3.1006,3.0995,HUNTER,24
3.5756,5.1406,PRIEST,27
3.871,4.4146,MAGE,41
1.2116,1.2657,ROGUE,3
3.8742,6.3004,WARRIOR,49
3.1046,2.583,PALADIN,58
3.7272,4.3255,MAGE,59
19.1739,19.1739,DRUID,70
4.5959,4.5672,ROGUE,21
3.7022,4.4019,WARLOCK,25
3.1135,3.0712,HUNTER,33
10,10,PRIEST,73
2.6702,2.9118,SHAMAN,14
3.2434,4.0891,WARLOCK,18
2.3903,2.1799,HUNTER,8
3.5231,3.8587,MAGE,31
3.4676,4.6855,PRIEST,46
3.1842,3.1292,HUNTER,39
11.8487,12.0247,DRUID,56
2,3,MAGE,65
21.5384,21.5384,DRUID,86
1,1,PRIEST,77
2.89,3.0978,SHAMAN,36
3.8801,4.3797,MAGE,40
4.1113,4.2897,ROGUE,39
9.4014,9.7939,DRUID,49
3.7294,5.9302,WARRIOR,61
5,5,ROGUE,69
4.2717,4.2947,ROGUE,17
1.5187,1.9852,PALADIN,4
3.25,3.4838,PALADIN,65
3.7142,3.875,PALADIN,68
2.5266,3.2126,MAGE,15
2.9733,3.7683,PALADIN,23
1.4526,1.8549,WARRIOR,4
2.4926,2.6932,ROGUE,11
3.8995,4.5135,MAGE,43
4.4759,4.4604,ROGUE,28
6.5107,7.1019,DRUID,34
4.2543,6.3625,WARRIOR,55
2.209,2.3846,SHAMAN,60
4.6666,4.4444,HUNTER,64
3.0878,3.111,HUNTER,20
3.0797,3.9595,WARLOCK,15
1.1231,1.7592,SHAMAN,2
3.0945,3.0513,HUNTER,35
3.1244,3.1051,HUNTER,25
2.6456,2.7038,SHAMAN,56
4.208,4.4724,ROGUE,50
4.517,4.4973,ROGUE,27
7.7759,8.3007,DRUID,40
8.2437,8.7327,DRUID,44
3.3668,6.0668,WARRIOR,40
4.4028,4.7597,WARLOCK,48
7.8092,8.3642,DRUID,41
14.2564,14.3717,DRUID,59
3.1776,5.9248,WARRIOR,25
2.5812,3.3211,PALADIN,40
3.7275,4.7888,PRIEST,56
3.0862,4.0082,PRIEST,63
4.3911,4.3991,ROGUE,18
5.2384,5.8366,DRUID,26
1.9504,2.3971,MAGE,7
3.3227,3.6869,MAGE,27
2.6663,3.3708,MAGE,17
2.8922,3.5355,MAGE,18
2.9231,3.0798,SHAMAN,44
7.5054,8.0389,DRUID,39
18.423,18.5384,DRUID,69
4,4,HUNTER,66
12.5,12.5,PRIEST,80
3.4379,4.2184,WARLOCK,21
3.3516,6.068,WARRIOR,39
2.7549,2.7775,SHAMAN,55
3.7326,4.4904,MAGE,57
4.3809,4.8352,ROGUE,51
4.2222,4.6086,WARLOCK,54
3.0941,3.0586,HUNTER,36
5,5,ROGUE,76
2.9118,3.7408,PALADIN,16
2.2604,3.0716,WARLOCK,8
2.9345,3.0666,SHAMAN,47
3.7848,4.4375,MAGE,48
4.0922,6.2751,WARRIOR,53
3.8219,4.4899,WARLOCK,27
3.3437,5.606,WARRIOR,63
4.1428,4.4285,PALADIN,69
3.5392,4.7616,PRIEST,49
2.536,3.1432,PALADIN,49
2.4734,2.8191,PALADIN,56
21.75,21.75,DRUID,85
5,4.0476,HUNTER,58
3.6066,5.249,PRIEST,24
1.8229,2.0348,ROGUE,6
3.1929,3.7073,MAGE,23
2.6636,3.4115,PALADIN,35
4.2441,4.7766,WARLOCK,36
4.1342,4.281,ROGUE,38
20.4285,20.4285,DRUID,76
4.493,4.4868,ROGUE,19
3.3887,4.789,PRIEST,34
4.3694,4.831,WARLOCK,39
3.7952,4.4711,MAGE,46
2.4393,2.9587,PALADIN,53
2.2179,2.421,SHAMAN,61
19.4166,19.4166,DRUID,71
4.375,4.875,WARRIOR,71
3.4887,6.1408,WARRIOR,43
2.9412,3.0802,SHAMAN,45
3.6259,4.8122,PRIEST,52
3.8195,3.4536,HUNTER,51
3.2264,4.2105,PRIEST,67
3.4495,5.2873,PRIEST,19
2.1223,2.6758,MAGE,9
2.9399,3.719,PALADIN,25
4.1661,4.7387,WARLOCK,34
8.2116,8.6414,DRUID,43
5.1428,5.5714,WARRIOR,72
5,5,ROGUE,73
2.4753,3.1495,MAGE,14
2.9217,5.1878,WARRIOR,16
2.3965,2.7105,SHAMAN,12
2.9915,3.2223,SHAMAN,29
5.8322,6.4338,DRUID,30
4.0642,4.6454,WARLOCK,32
3.1343,3.1359,HUNTER,23
2.8841,3.0849,SHAMAN,38
3.7415,4.8065,PRIEST,55
3.8888,4.7241,PRIEST,68
2.8571,3.4782,MAGE,62
20.5882,20.5882,DRUID,81
21.8888,21.8888,DRUID,88
1.6469,2.1482,SHAMAN,6
3.9853,6.2713,WARRIOR,51
3.7608,4.7988,PRIEST,60
14,14,PRIEST,75
2.95,2.8951,HUNTER,13
1.1987,1.1041,WARRIOR,3
4.3845,4.3919,ROGUE,30
2,3,MAGE,66
5,5,ROGUE,75
