avg_attack,average_health,player_class,turn
22.6666,22.6666,DRUID,77
3.1779,3.2815,PALADIN,33
4.2388,3.3301,HUNTER,45
4.5027,5.1712,WARLOCK,56
3.6121,5.2256,PRIEST,32
3.2084,3.5252,PALADIN,18
4.4959,5.3394,WARRIOR,44
2.744,2.9458,PALADIN,55
4.2962,4.8571,ROGUE,57
3.298,3.3398,SHAMAN,21
1.5671,3.2887,PRIEST,4
2.8797,2.8334,HUNTER,12
9.7001,9.9798,DRUID,45
3.8087,4.8574,MAGE,56
3.8055,5.0409,MAGE,63
15.8118,16.9117,DRUID,60
16.4923,18.5846,DRUID,65
3.8,4.8,NEUTRAL,10
1.4253,1.653,PALADIN,4
3.5732,3.4969,ROGUE,17
1.4761,1.4545,PALADIN,65
4.8791,5.4944,DRUID,24
3.6776,5.2335,PRIEST,36
12,12,WARRIOR,77
3.7557,3.8992,ROGUE,27
8.4749,8.787,DRUID,40
9.463,9.7438,DRUID,44
1.7168,2.2034,MAGE,4
3.5268,4.235,DRUID,15
2.9433,4.7361,PRIEST,12
1.4053,1.275,HUNTER,3
4.942,5.4921,WARRIOR,56
4.6187,5.4923,WARLOCK,57
26.3876,3.5856,HUNTER,50
19.2173,19.2173,DRUID,72
3.3227,3.8812,MAGE,17
3.4361,3.9911,MAGE,18
3.6176,4.3632,MAGE,27
3.98,3.6443,SHAMAN,44
8.2233,8.5605,DRUID,39
19.6944,19.6944,DRUID,69
1.2,1.5454,SHAMAN,71
5.4285,5.7777,PRIEST,80
7,9,HUNTER,66
2.7906,2.8821,SHAMAN,15
1.8282,3.7628,PRIEST,6
1.3309,2.1255,MAGE,3
4.3783,4.6973,ROGUE,56
16.3835,18.1232,DRUID,64
3.6666,5.1666,NEUTRAL,7
9.1666,10.1666,PRIEST,82
4.2949,5.2712,WARRIOR,40
4.5237,5.2545,WARLOCK,48
8.6981,9.0086,DRUID,41
13.4838,14.7903,DRUID,59
4.2111,5.0744,WARRIOR,26
2.88,3.7302,WARLOCK,13
4.4805,5.7848,PRIEST,70
2.9773,4.795,PRIEST,13
6.248,6.7548,DRUID,31
3.1639,3.2745,HUNTER,27
4.2251,5.2359,WARRIOR,38
4.2952,5.0988,WARLOCK,41
3.0618,3.1696,PALADIN,45
4.3921,4.886,WARLOCK,59
3,5.25,NEUTRAL,13
4.5,5,MAGE,78
3.7432,4.7873,WARLOCK,26
3.1572,3.2953,PALADIN,31
2.3051,2.5821,PALADIN,60
115.7671,3.6973,HUNTER,53
3.3888,3.3333,HUNTER,57
