player_class,card_name,rarity,before_zone,times_played,win_percentage
PALADIN,Murloc Warleader,EPIC,DECK,163,65.64
DRUID,Soggoth the Slitherer,LEGENDARY,HAND,161,63.98
WARRIOR,Prince Malchezaar,LEGENDARY,HAND,153,42.48
DRUID,Aviana,LEGENDARY,HAND,150,68.67
MAGE,Prince Malchezaar,LEGENDARY,HAND,144,31.25
PRIEST,Alexstrasza,LEGENDARY,HAND,139,60.43
PRIEST,Prince Malchezaar,LEGENDARY,HAND,139,55.4
PRIEST,The Curator,LEGENDARY,HAND,138,44.2
SHAMAN,Patches the Pirate,LEGENDARY,DECK,137,72.26
PALADIN,Mysterious Challenger,EPIC,HAND,136,56.62
DRUID,Sir Finley Mrrgglton,LEGENDARY,HAND,134,52.24
PRIEST,Chromaggus,LEGENDARY,HAND,134,57.46
PALADIN,Patches the Pirate,LEGENDARY,HAND,130,43.08
WARLOCK,Harrison Jones,LEGENDARY,HAND,130,51.54
DRUID,Crazed Worshipper,EPIC,HAND,129,50.39
ROGUE,Cairne Bloodhoof,LEGENDARY,HAND,129,58.14
ROGUE,Twilight Guardian,EPIC,HAND,126,14.29
DRUID,"Y'Shaarj, Rage Unbound",LEGENDARY,HAND,125,69.6
ROGUE,C'Thun,LEGENDARY,HAND,123,77.24
WARLOCK,C'Thun,LEGENDARY,HAND,123,72.36
ROGUE,Blade of C'Thun,EPIC,HAND,122,49.18
ROGUE,Patches the Pirate,LEGENDARY,HAND,120,40.83
PRIEST,Deathwing,LEGENDARY,HAND,118,33.05
PRIEST,Kodorider,EPIC,HAND,117,66.67
WARLOCK,Prince Malchezaar,LEGENDARY,HAND,114,51.75
PALADIN,Blubber Baron,EPIC,HAND,110,16.36
SHAMAN,"N'Zoth, the Corruptor",LEGENDARY,HAND,110,67.27
WARLOCK,Twin Emperor Vek'lor,LEGENDARY,HAND,108,54.63
HUNTER,The Curator,LEGENDARY,HAND,104,45.19
DRUID,Cairne Bloodhoof,LEGENDARY,HAND,103,31.07
MAGE,C'Thun,LEGENDARY,HAND,102,53.92
WARLOCK,Twilight Guardian,EPIC,HAND,102,54.9
PALADIN,Ysera,LEGENDARY,HAND,101,39.6
WARLOCK,Crazed Worshipper,EPIC,HAND,101,58.42
PALADIN,Sergeant Sally,LEGENDARY,HAND,100,42
